label_id	anchor_y	anchor_x	bb_min_y	bb_min_x	bb_max_y	bb_max_x	n_pixels	cell
1.0	927.0	578.0	920.0	549.0	930.0	607.0	387.0	infected
2.0	836.0	1018.0	817.0	1012.0	856.0	1024.0	383.0	infected
3.0	332.0	1017.0	314.0	999.0	354.0	1024.0	505.0	control
4.0	843.0	86.0	827.0	77.0	859.0	96.0	363.0	infected
5.0	14.0	6.0	0.0	0.0	37.0	26.0	479.0	infected
6.0	923.0	303.0	916.0	282.0	930.0	325.0	494.0	control
7.0	739.0	1013.0	697.0	979.0	784.0	1024.0	2637.0	infected
8.0	5.0	970.0	0.0	954.0	20.0	982.0	319.0	infected
9.0	773.0	123.0	754.0	100.0	801.0	134.0	508.0	infected
10.0	768.0	137.0	750.0	122.0	787.0	155.0	759.0	infected
11.0	737.0	15.0	692.0	0.0	784.0	54.0	2350.0	infected
12.0	783.0	787.0	772.0	770.0	796.0	805.0	479.0	infected
13.0	583.0	1019.0	532.0	1008.0	635.0	1024.0	981.0	infected
14.0	195.0	225.0	188.0	211.0	203.0	239.0	200.0	infected
15.0	8.0	1000.0	0.0	977.0	19.0	1024.0	708.0	infected
16.0	10.0	547.0	0.0	516.0	30.0	581.0	1025.0	infected
17.0	19.0	616.0	0.0	581.0	59.0	646.0	2140.0	infected
18.0	10.0	101.0	0.0	80.0	26.0	125.0	789.0	control
19.0	6.0	404.0	0.0	390.0	20.0	421.0	364.0	control
20.0	914.0	637.0	890.0	599.0	930.0	672.0	2122.0	control
21.0	690.0	669.0	669.0	657.0	712.0	681.0	682.0	infected
22.0	682.0	873.0	663.0	860.0	700.0	883.0	451.0	infected
23.0	11.0	70.0	0.0	54.0	23.0	88.0	576.0	infected
24.0	866.0	207.0	849.0	194.0	880.0	218.0	444.0	infected
25.0	835.0	190.0	827.0	174.0	847.0	205.0	379.0	infected
26.0	239.0	7.0	215.0	0.0	260.0	23.0	686.0	infected
27.0	9.0	428.0	0.0	411.0	23.0	447.0	598.0	infected
28.0	608.0	551.0	588.0	533.0	631.0	574.0	962.0	infected
29.0	10.0	791.0	0.0	762.0	27.0	820.0	1042.0	infected
30.0	630.0	581.0	595.0	540.0	653.0	622.0	2467.0	control
31.0	450.0	15.0	402.0	0.0	502.0	36.0	2688.0	infected
32.0	309.0	290.0	294.0	266.0	331.0	308.0	1016.0	infected
33.0	14.0	33.0	0.0	4.0	33.0	64.0	1255.0	infected
34.0	29.0	171.0	0.0	146.0	63.0	198.0	1369.0	infected
35.0	871.0	509.0	860.0	480.0	886.0	538.0	683.0	infected
36.0	18.0	484.0	0.0	445.0	41.0	527.0	2574.0	infected
37.0	886.0	504.0	872.0	485.0	906.0	527.0	784.0	infected
38.0	16.0	145.0	0.0	110.0	39.0	175.0	1763.0	control
39.0	886.0	194.0	873.0	181.0	895.0	211.0	466.0	control
40.0	629.0	525.0	610.0	506.0	641.0	542.0	726.0	control
41.0	517.0	179.0	493.0	158.0	535.0	203.0	1316.0	control
42.0	440.0	900.0	432.0	891.0	450.0	910.0	264.0	control
