label_id	anchor_y	anchor_x	bb_min_y	bb_min_x	bb_max_y	bb_max_x	n_pixels	cell
1.0	158.0	279.0	147.0	266.0	171.0	293.0	397.0	infected
2.0	515.0	813.0	509.0	803.0	524.0	827.0	234.0	infected
3.0	414.0	150.0	404.0	142.0	424.0	158.0	220.0	infected
4.0	3.0	250.0	0.0	184.0	20.0	319.0	1272.0	infected
5.0	5.0	324.0	0.0	317.0	9.0	331.0	101.0	infected
6.0	922.0	641.0	911.0	627.0	930.0	655.0	438.0	infected
7.0	434.0	970.0	427.0	965.0	444.0	976.0	113.0	infected
8.0	923.0	590.0	915.0	572.0	930.0	609.0	423.0	infected
9.0	4.0	362.0	0.0	352.0	13.0	373.0	172.0	infected
10.0	214.0	808.0	196.0	792.0	231.0	819.0	460.0	infected
11.0	444.0	953.0	428.0	939.0	456.0	971.0	387.0	infected
12.0	80.0	1016.0	71.0	1007.0	92.0	1024.0	235.0	infected
13.0	3.0	375.0	0.0	369.0	10.0	382.0	82.0	infected
14.0	926.0	733.0	915.0	708.0	930.0	759.0	490.0	control
15.0	676.0	581.0	650.0	538.0	719.0	603.0	1974.0	infected
16.0	6.0	877.0	0.0	857.0	17.0	899.0	382.0	infected
17.0	718.0	6.0	699.0	0.0	738.0	17.0	422.0	infected
18.0	780.0	1019.0	759.0	1010.0	802.0	1024.0	323.0	infected
19.0	98.0	1019.0	84.0	1012.0	112.0	1024.0	189.0	infected
20.0	908.0	540.0	902.0	530.0	914.0	551.0	180.0	control
21.0	916.0	8.0	900.0	0.0	930.0	23.0	545.0	infected
22.0	6.0	833.0	0.0	799.0	18.0	868.0	942.0	infected
23.0	5.0	646.0	0.0	629.0	11.0	663.0	275.0	infected
24.0	5.0	385.0	0.0	377.0	15.0	392.0	129.0	control
25.0	813.0	5.0	792.0	0.0	835.0	13.0	421.0	infected
26.0	13.0	379.0	7.0	371.0	22.0	387.0	155.0	infected
27.0	11.0	338.0	0.0	320.0	25.0	359.0	631.0	infected
28.0	607.0	155.0	598.0	144.0	617.0	161.0	167.0	control
29.0	13.0	141.0	0.0	98.0	28.0	186.0	1861.0	infected
30.0	925.0	793.0	913.0	773.0	930.0	811.0	419.0	infected
31.0	872.0	6.0	844.0	0.0	901.0	19.0	671.0	infected
32.0	430.0	957.0	422.0	949.0	441.0	967.0	236.0	infected
33.0	363.0	1015.0	340.0	1000.0	388.0	1024.0	534.0	infected
34.0	542.0	286.0	518.0	268.0	566.0	305.0	1299.0	control
35.0	212.0	1017.0	189.0	1009.0	238.0	1024.0	540.0	infected
36.0	346.0	967.0	321.0	939.0	369.0	988.0	1173.0	control
37.0	119.0	499.0	110.0	486.0	133.0	508.0	350.0	infected
38.0	912.0	737.0	898.0	727.0	925.0	744.0	252.0	infected
39.0	394.0	341.0	351.0	309.0	421.0	365.0	1628.0	infected
40.0	166.0	1016.0	143.0	1007.0	189.0	1024.0	667.0	infected
41.0	8.0	772.0	0.0	730.0	32.0	810.0	1503.0	infected
42.0	629.0	9.0	606.0	0.0	652.0	20.0	580.0	infected
43.0	374.0	40.0	356.0	29.0	390.0	57.0	532.0	infected
44.0	913.0	204.0	889.0	178.0	930.0	226.0	1264.0	infected
45.0	17.0	1015.0	0.0	1005.0	36.0	1024.0	528.0	infected
46.0	838.0	1015.0	810.0	992.0	861.0	1024.0	862.0	control
47.0	509.0	429.0	494.0	416.0	522.0	447.0	547.0	infected
48.0	414.0	50.0	386.0	26.0	446.0	77.0	1981.0	infected
49.0	29.0	376.0	9.0	354.0	39.0	400.0	768.0	infected
50.0	919.0	689.0	901.0	667.0	930.0	713.0	807.0	infected
51.0	897.0	523.0	892.0	510.0	910.0	537.0	161.0	control
52.0	74.0	201.0	56.0	182.0	95.0	216.0	754.0	infected
53.0	572.0	550.0	540.0	527.0	598.0	565.0	895.0	control
54.0	522.0	633.0	506.0	615.0	534.0	652.0	536.0	infected
55.0	920.0	974.0	909.0	958.0	930.0	991.0	557.0	infected
56.0	889.0	530.0	876.0	505.0	904.0	551.0	654.0	control
57.0	353.0	152.0	326.0	132.0	375.0	178.0	1215.0	infected
58.0	411.0	12.0	392.0	0.0	431.0	28.0	853.0	infected
59.0	51.0	1016.0	30.0	1008.0	72.0	1024.0	546.0	control
60.0	504.0	18.0	481.0	0.0	522.0	40.0	1047.0	infected
61.0	175.0	291.0	158.0	280.0	191.0	309.0	527.0	infected
62.0	653.0	330.0	635.0	319.0	669.0	348.0	453.0	infected
63.0	595.0	616.0	568.0	592.0	621.0	643.0	1593.0	infected
64.0	399.0	242.0	386.0	223.0	413.0	263.0	643.0	infected
65.0	12.0	420.0	0.0	386.0	28.0	455.0	1204.0	infected
66.0	768.0	234.0	743.0	209.0	791.0	253.0	1313.0	infected
67.0	411.0	910.0	391.0	886.0	432.0	937.0	977.0	infected
68.0	344.0	46.0	334.0	25.0	359.0	70.0	591.0	infected
69.0	766.0	661.0	744.0	639.0	791.0	687.0	1112.0	infected
70.0	567.0	303.0	543.0	280.0	580.0	314.0	531.0	infected
71.0	625.0	132.0	601.0	113.0	654.0	161.0	1626.0	control
72.0	551.0	815.0	546.0	803.0	563.0	829.0	254.0	infected
73.0	389.0	140.0	362.0	107.0	423.0	176.0	2292.0	infected
74.0	663.0	623.0	653.0	611.0	675.0	635.0	381.0	infected
75.0	148.0	988.0	124.0	964.0	166.0	1014.0	987.0	infected
76.0	694.0	564.0	676.0	546.0	710.0	584.0	738.0	infected
77.0	920.0	945.0	903.0	929.0	930.0	965.0	574.0	infected
78.0	466.0	430.0	453.0	402.0	488.0	464.0	1241.0	infected
79.0	57.0	395.0	38.0	369.0	76.0	416.0	1052.0	infected
80.0	625.0	207.0	600.0	184.0	653.0	237.0	1462.0	infected
81.0	779.0	800.0	762.0	785.0	803.0	815.0	748.0	infected
82.0	207.0	656.0	190.0	646.0	224.0	669.0	618.0	control
83.0	432.0	855.0	422.0	840.0	446.0	867.0	389.0	infected
84.0	255.0	568.0	237.0	543.0	265.0	598.0	796.0	infected
85.0	218.0	204.0	205.0	192.0	230.0	216.0	329.0	infected
86.0	685.0	1014.0	674.0	999.0	701.0	1024.0	424.0	infected
87.0	529.0	20.0	519.0	0.0	543.0	45.0	798.0	control
88.0	679.0	772.0	661.0	755.0	697.0	786.0	763.0	infected
89.0	380.0	445.0	363.0	429.0	398.0	465.0	693.0	infected
90.0	233.0	804.0	217.0	786.0	245.0	821.0	693.0	infected
91.0	593.0	675.0	563.0	644.0	628.0	697.0	2147.0	infected
92.0	541.0	606.0	528.0	587.0	559.0	624.0	767.0	infected
93.0	268.0	824.0	244.0	801.0	299.0	844.0	1375.0	infected
94.0	107.0	45.0	89.0	30.0	124.0	59.0	641.0	infected
95.0	276.0	558.0	259.0	540.0	296.0	580.0	896.0	infected
96.0	698.0	321.0	680.0	297.0	718.0	345.0	1117.0	infected
97.0	147.0	12.0	119.0	0.0	179.0	28.0	1115.0	infected
98.0	171.0	191.0	159.0	183.0	184.0	201.0	208.0	infected
99.0	227.0	264.0	191.0	250.0	252.0	294.0	1447.0	infected
100.0	925.0	918.0	917.0	908.0	930.0	929.0	154.0	infected
101.0	44.0	157.0	15.0	138.0	82.0	191.0	1853.0	infected
102.0	6.0	477.0	0.0	447.0	17.0	510.0	718.0	control
103.0	850.0	385.0	828.0	366.0	866.0	408.0	702.0	infected
104.0	479.0	557.0	464.0	539.0	495.0	575.0	547.0	infected
105.0	687.0	611.0	672.0	596.0	707.0	634.0	733.0	infected
106.0	403.0	960.0	373.0	935.0	429.0	983.0	1589.0	infected
107.0	246.0	307.0	232.0	293.0	260.0	319.0	510.0	control
108.0	646.0	674.0	626.0	647.0	669.0	695.0	1687.0	control
109.0	295.0	260.0	277.0	236.0	310.0	279.0	914.0	infected
110.0	691.0	669.0	664.0	653.0	718.0	690.0	1471.0	control
