label_id	anchor_x	anchor_y	bb_min_x	bb_min_y	bb_max_x	bb_max_y	n_pixels
1.0	9.148984198645598	595.6975169300226	0.0	582.0	21.0	611.0	443.0
2.0	926.0512820512821	961.4908424908425	921.0	938.0	930.0	983.0	273.0
3.0	398.8333333333333	526.1666666666666	392.0	523.0	412.0	533.0	54.0
4.0	903.5891472868217	1020.1317829457364	895.0	1015.0	916.0	1024.0	129.0
5.0	387.52539404553414	541.3660245183888	361.0	522.0	415.0	561.0	1142.0
6.0	926.0526315789474	608.6165413533835	919.0	597.0	930.0	619.0	133.0
7.0	151.36279069767443	4.0093023255813955	140.0	0.0	167.0	11.0	215.0
8.0	922.3097826086956	842.6195652173913	911.0	826.0	930.0	857.0	368.0
9.0	918.351724137931	521.9287356321839	904.0	509.0	930.0	540.0	435.0
10.0	13.924698795180722	625.8780120481928	0.0	610.0	30.0	643.0	664.0
11.0	864.7016706443914	5.844868735083533	848.0	0.0	884.0	14.0	419.0
12.0	481.93430656934305	268.7299270072993	476.0	262.0	489.0	276.0	137.0
13.0	334.1872549019608	5.022549019607843	274.0	0.0	384.0	18.0	1020.0
14.0	6.485294117647059	641.8529411764706	0.0	631.0	18.0	654.0	272.0
15.0	200.56434852118306	11.88968824940048	166.0	0.0	230.0	38.0	1251.0
16.0	16.725490196078432	764.7737556561086	0.0	743.0	41.0	786.0	1326.0
17.0	21.054228855721394	880.2880597014926	0.0	827.0	53.0	920.0	2010.0
18.0	922.0146627565982	1012.7448680351906	913.0	999.0	930.0	1024.0	341.0
19.0	920.3512476007678	582.7504798464491	906.0	564.0	930.0	598.0	521.0
20.0	66.63743517208864	23.71192833569071	26.0	0.0	107.0	50.0	2121.0
21.0	888.4903047091412	1011.0761772853185	871.0	997.0	913.0	1024.0	722.0
22.0	4.348370927318296	371.0877192982456	0.0	346.0	13.0	392.0	399.0
23.0	837.7687074829932	767.7551020408164	831.0	760.0	847.0	783.0	147.0
24.0	416.4569105691057	535.1463414634146	401.0	520.0	431.0	554.0	615.0
25.0	4.804953560371517	69.54489164086688	0.0	54.0	14.0	89.0	323.0
26.0	541.1675392670157	405.80104712041884	527.0	392.0	557.0	419.0	382.0
27.0	65.28794326241135	1009.9992907801418	34.0	985.0	102.0	1024.0	1410.0
28.0	924.0694980694981	395.3011583011583	914.0	380.0	930.0	412.0	259.0
29.0	762.1521739130435	411.4714673913044	747.0	390.0	782.0	431.0	736.0
30.0	4.227091633466135	103.66135458167331	0.0	88.0	14.0	117.0	251.0
31.0	188.49920508744037	26.45945945945946	174.0	12.0	205.0	39.0	629.0
32.0	109.64864864864865	213.31216216216217	89.0	196.0	133.0	225.0	740.0
33.0	758.3229296712443	1003.0116521015398	721.0	975.0	791.0	1024.0	2403.0
34.0	897.1267716535433	79.28326771653543	858.0	0.0	930.0	146.0	5080.0
35.0	896.171130952381	17.59970238095238	874.0	0.0	919.0	40.0	1344.0
36.0	766.5753424657535	458.3982387475538	746.0	436.0	791.0	478.0	1022.0
37.0	210.8235294117647	1014.7234042553191	190.0	1000.0	248.0	1024.0	799.0
38.0	334.103694874851	67.83671036948749	298.0	41.0	372.0	95.0	2517.0
39.0	77.8063943161634	624.5298993487271	39.0	610.0	120.0	640.0	1689.0
40.0	697.0688405797101	1013.9855072463768	670.0	1000.0	723.0	1024.0	828.0
41.0	10.873370577281191	199.35754189944134	0.0	187.0	28.0	219.0	537.0
42.0	134.82051282051282	262.3205128205128	124.0	256.0	149.0	273.0	234.0
43.0	162.9126455906822	361.43094841930116	141.0	339.0	187.0	385.0	1202.0
44.0	914.4751908396946	213.54770992366412	889.0	194.0	930.0	236.0	1048.0
45.0	739.8862144420132	10.459518599562363	716.0	0.0	764.0	27.0	914.0
46.0	452.61380597014926	586.3619402985074	440.0	575.0	468.0	601.0	536.0
47.0	842.2179104477611	735.8746268656716	824.0	721.0	859.0	750.0	670.0
48.0	644.6501021102791	340.83866575901976	616.0	318.0	672.0	363.0	1469.0
49.0	916.1657458563536	795.3162983425415	895.0	765.0	930.0	833.0	1448.0
50.0	507.60857142857145	364.2371428571429	498.0	353.0	521.0	376.0	350.0
51.0	845.4774535809019	778.9496021220159	835.0	769.0	858.0	790.0	377.0
52.0	16.11922663802363	240.07089151450054	0.0	218.0	48.0	260.0	931.0
53.0	789.9098837209302	704.3837209302326	773.0	684.0	810.0	721.0	688.0
54.0	892.5648621041879	631.7272727272727	869.0	609.0	920.0	651.0	979.0
55.0	812.1547987616099	261.1021671826625	801.0	248.0	826.0	276.0	323.0
56.0	19.58606557377049	99.25409836065573	5.0	89.0	38.0	112.0	488.0
57.0	507.2631578947368	387.6926315789474	493.0	369.0	519.0	405.0	475.0
58.0	160.98455882352943	226.12720588235294	138.0	197.0	189.0	256.0	1360.0
59.0	342.09631728045326	820.8371104815864	326.0	807.0	363.0	840.0	706.0
60.0	305.7936013590034	972.1789354473386	268.0	940.0	350.0	1008.0	3532.0
61.0	915.2482905982906	133.89145299145298	888.0	95.0	930.0	199.0	2340.0
62.0	854.816037735849	1012.5778301886793	832.0	999.0	877.0	1024.0	848.0
63.0	594.6964028776979	957.5021582733813	582.0	934.0	610.0	982.0	695.0
64.0	119.74958540630182	190.01492537313433	100.0	171.0	145.0	208.0	1206.0
65.0	718.5363489499192	785.1147011308562	699.0	772.0	744.0	797.0	619.0
66.0	917.2043222003929	492.8919449901768	899.0	470.0	930.0	518.0	1018.0
67.0	719.2737430167598	767.5772811918064	705.0	754.0	735.0	782.0	537.0
68.0	194.61002548853017	492.1376380628717	174.0	473.0	213.0	516.0	1177.0
69.0	359.5741379310345	857.9689655172414	347.0	841.0	375.0	876.0	580.0
70.0	718.451403887689	458.0827933765299	692.0	439.0	747.0	478.0	1389.0
71.0	919.0255827174531	329.6594656054576	903.0	288.0	930.0	382.0	1759.0
72.0	684.4383561643835	728.119373776908	670.0	714.0	697.0	748.0	511.0
73.0	727.8062337662337	367.0187012987013	699.0	323.0	763.0	401.0	1925.0
74.0	691.1634390295808	232.12066397105767	633.0	192.0	743.0	275.0	4699.0
75.0	635.2676056338029	286.2149740548555	613.0	263.0	662.0	312.0	1349.0
76.0	865.9726348709929	541.8905394839719	850.0	514.0	886.0	567.0	1279.0
77.0	293.4025974025974	48.09415584415584	279.0	34.0	308.0	65.0	616.0
78.0	80.02642444260941	198.58216350123865	58.0	181.0	105.0	219.0	1211.0
79.0	369.54418604651164	877.398449612403	353.0	859.0	384.0	894.0	645.0
80.0	727.07	603.2307692307693	700.0	583.0	749.0	627.0	1300.0
81.0	130.13119143239626	410.48862115127173	111.0	397.0	149.0	426.0	747.0
82.0	364.86231313926044	340.97403619197485	343.0	322.0	388.0	362.0	1271.0
83.0	623.4564666103128	625.3457311918851	603.0	603.0	645.0	650.0	1183.0
84.0	171.63772775991424	254.021436227224	152.0	236.0	192.0	275.0	933.0
85.0	466.9024745269287	249.45778748180496	438.0	232.0	495.0	268.0	1374.0
86.0	751.7243735763097	580.7699316628701	734.0	562.0	777.0	603.0	878.0
87.0	276.061433447099	54.95221843003413	261.0	45.0	287.0	66.0	293.0
88.0	74.78139534883721	261.9162790697674	55.0	244.0	96.0	281.0	860.0
89.0	495.57766990291265	968.9781553398059	486.0	956.0	506.0	982.0	412.0
90.0	227.3405842137974	155.9235550031075	213.0	120.0	244.0	190.0	1609.0
91.0	7.75	704.3016997167139	0.0	651.0	21.0	745.0	1412.0
92.0	425.2831621259491	262.09825815096025	391.0	236.0	466.0	297.0	2239.0
93.0	922.0738786279684	278.44063324538257	913.0	266.0	930.0	294.0	379.0
94.0	135.24119353501865	490.8914214670535	95.0	469.0	175.0	519.0	2413.0
95.0	49.785650224215246	765.0322869955157	28.0	744.0	71.0	787.0	1115.0
96.0	193.16904761904763	372.8154761904762	176.0	354.0	206.0	396.0	840.0
97.0	671.1514423076923	694.8701923076923	647.0	669.0	696.0	716.0	1248.0
98.0	524.3724928366762	388.1604584527221	512.0	367.0	538.0	409.0	698.0
99.0	354.3006814310051	959.7419080068144	331.0	935.0	375.0	986.0	1174.0
100.0	838.7198515769944	287.25324675324674	808.0	270.0	865.0	306.0	1078.0
