label_id	anchor_y	anchor_x	bb_min_y	bb_min_x	bb_max_y	bb_max_x	n_pixels
1.0	413.05454545454546	275.6636363636364	408.0	269.0	419.0	282.0	110.0
2.0	904.8729508196722	3.180327868852459	887.0	0.0	922.0	9.0	244.0
3.0	34.361111111111114	1020.6666666666666	30.0	1017.0	38.0	1024.0	36.0
4.0	480.89403973509934	31.56953642384106	473.0	25.0	491.0	40.0	151.0
5.0	884.5525727069352	246.80984340044742	874.0	229.0	897.0	262.0	447.0
6.0	364.5208333333333	702.9829545454545	350.0	691.0	380.0	717.0	528.0
7.0	5.680161943319838	707.9635627530364	0.0	697.0	14.0	721.0	247.0
8.0	5.234817813765182	241.08906882591094	0.0	218.0	13.0	264.0	494.0
9.0	38.40873015873016	4.555555555555555	25.0	0.0	52.0	12.0	252.0
10.0	5.5435483870967746	25.808064516129033	0.0	0.0	16.0	58.0	620.0
11.0	495.0251346499102	45.9245960502693	468.0	17.0	517.0	70.0	1671.0
12.0	724.9594383775351	185.05148205928236	699.0	154.0	749.0	204.0	1282.0
13.0	497.358458961474	1011.6951423785595	483.0	997.0	514.0	1024.0	597.0
14.0	901.6713286713286	253.64335664335664	893.0	246.0	910.0	261.0	143.0
15.0	727.8325358851674	163.21052631578948	714.0	150.0	744.0	176.0	627.0
16.0	28.567328918322296	686.9764532744665	0.0	667.0	64.0	714.0	1359.0
17.0	372.745672436751	1009.6631158455393	335.0	990.0	404.0	1024.0	1502.0
18.0	6.195906432748538	1010.6140350877193	0.0	996.0	14.0	1024.0	342.0
19.0	408.8242753623188	1013.0217391304348	395.0	999.0	428.0	1024.0	552.0
20.0	86.70601851851852	223.87615740740742	71.0	205.0	112.0	250.0	864.0
21.0	756.6962025316456	66.35443037974683	747.0	51.0	769.0	82.0	395.0
22.0	588.2680412371134	571.2886597938144	578.0	558.0	595.0	579.0	97.0
23.0	9.427599009900991	799.690594059406	0.0	755.0	27.0	843.0	1616.0
24.0	740.9475982532751	860.490538573508	730.0	841.0	759.0	883.0	687.0
25.0	757.1	702.85	750.0	695.0	769.0	715.0	220.0
26.0	131.19750120134552	224.27630946660258	109.0	189.0	154.0	256.0	2081.0
27.0	62.29692470837752	549.4718981972428	46.0	532.0	83.0	572.0	943.0
28.0	897.5565217391304	243.22173913043477	889.0	235.0	908.0	253.0	230.0
29.0	554.4443334997504	198.08337493759362	528.0	169.0	581.0	225.0	2003.0
30.0	196.75440414507773	12.7139896373057	168.0	0.0	221.0	28.0	965.0
31.0	62.18544935805991	1007.0213980028531	37.0	984.0	85.0	1024.0	1402.0
32.0	500.0408618127786	461.3781575037147	480.0	431.0	521.0	491.0	1346.0
33.0	467.3129102844639	240.58643326039387	451.0	228.0	482.0	253.0	457.0
34.0	24.22742474916388	1010.3478260869565	13.0	996.0	41.0	1024.0	598.0
35.0	119.22602739726027	76.88584474885845	109.0	59.0	128.0	97.0	438.0
36.0	683.9825119236884	120.05246422893482	668.0	106.0	703.0	135.0	629.0
37.0	119.60899390243902	688.499237804878	98.0	670.0	147.0	709.0	1312.0
38.0	902.3734439834025	449.2572614107884	894.0	440.0	911.0	458.0	241.0
39.0	568.8927203065134	887.6704980842912	555.0	870.0	585.0	906.0	783.0
40.0	580.1571906354515	564.7558528428094	569.0	557.0	591.0	575.0	299.0
41.0	771.3941018766756	734.3083109919571	755.0	726.0	785.0	746.0	373.0
42.0	191.26180257510728	165.09728183118742	173.0	148.0	211.0	179.0	699.0
43.0	452.33174603174604	273.42539682539683	437.0	256.0	469.0	294.0	630.0
44.0	918.9036979969184	113.05238828967643	903.0	83.0	930.0	152.0	1298.0
45.0	664.3275862068965	820.3771551724138	646.0	810.0	685.0	833.0	464.0
46.0	97.425	60.14090909090909	84.0	45.0	113.0	73.0	440.0
47.0	707.4273422562142	10.311663479923519	682.0	0.0	735.0	25.0	1046.0
48.0	435.7859589041096	249.0	417.0	232.0	457.0	268.0	1168.0
49.0	488.12629757785464	915.3615916955017	469.0	898.0	503.0	931.0	578.0
50.0	316.5236703682057	983.1098772647574	295.0	958.0	340.0	1021.0	1711.0
51.0	152.39112050739956	529.9408033826638	135.0	519.0	171.0	542.0	473.0
52.0	166.4950495049505	8.877887788778878	150.0	0.0	186.0	21.0	606.0
53.0	467.18813716404077	898.6126042632067	447.0	875.0	487.0	920.0	1079.0
54.0	11.648894668400521	924.2860858257477	0.0	907.0	28.0	946.0	769.0
55.0	209.56842105263158	36.11842105263158	174.0	17.0	243.0	57.0	1520.0
56.0	319.7364185110664	370.64386317907446	304.0	354.0	331.0	385.0	497.0
57.0	842.2810344827586	423.2293103448276	821.0	385.0	863.0	468.0	1740.0
58.0	177.70935960591132	759.5295566502463	162.0	749.0	196.0	769.0	406.0
59.0	25.89748201438849	554.543165467626	0.0	527.0	54.0	577.0	1668.0
60.0	749.5621827411168	645.5875634517766	734.0	631.0	767.0	662.0	788.0
61.0	128.11315547378103	469.35694572217113	107.0	454.0	152.0	486.0	1087.0
62.0	737.0283783783784	388.32027027027027	720.0	372.0	754.0	407.0	740.0
63.0	572.106346483705	236.9056603773585	556.0	213.0	588.0	266.0	1166.0
64.0	356.04783092324806	574.3581757508342	332.0	557.0	380.0	590.0	899.0
65.0	332.92427385892114	12.338174273858922	309.0	0.0	355.0	31.0	964.0
66.0	923.2758620689655	165.01149425287358	916.0	151.0	930.0	181.0	348.0
67.0	500.2649914334666	511.36664762992575	470.0	490.0	533.0	535.0	1751.0
68.0	222.1864640883978	614.1740331491712	204.0	603.0	248.0	629.0	724.0
69.0	171.70444444444445	555.9777777777778	160.0	537.0	191.0	571.0	450.0
70.0	23.29527559055118	78.66010498687665	0.0	68.0	55.0	92.0	762.0
71.0	211.4523076923077	95.70461538461538	195.0	76.0	226.0	114.0	650.0
72.0	323.99024390243903	1015.2048780487805	311.0	1005.0	339.0	1024.0	410.0
73.0	851.3922077922078	643.5454545454545	841.0	629.0	864.0	664.0	385.0
74.0	567.7049905243209	928.0758054327226	540.0	902.0	592.0	952.0	1583.0
75.0	919.5996745321399	614.1289666395444	900.0	548.0	930.0	694.0	2458.0
76.0	520.1053719008264	750.4855371900826	504.0	740.0	536.0	765.0	484.0
77.0	107.61485714285715	1014.8708571428572	82.0	1000.0	141.0	1024.0	875.0
78.0	745.9714285714285	988.7790476190477	730.0	972.0	765.0	1001.0	525.0
79.0	803.9762340036563	777.6517367458866	784.0	757.0	827.0	796.0	1094.0
80.0	497.05679513184583	661.20892494929	482.0	640.0	513.0	683.0	986.0
81.0	34.50898203592814	622.938123752495	21.0	609.0	49.0	636.0	501.0
82.0	806.7918143731872	223.56235900741217	764.0	165.0	839.0	265.0	3103.0
83.0	96.66915422885572	416.55223880597015	83.0	405.0	109.0	427.0	402.0
84.0	234.77927927927928	141.42342342342343	221.0	127.0	251.0	161.0	666.0
85.0	50.82253886010363	660.4287564766839	29.0	648.0	73.0	674.0	772.0
86.0	299.15247018739353	520.962521294719	277.0	494.0	329.0	542.0	1174.0
87.0	159.77333876885447	102.9930697105585	125.0	67.0	202.0	136.0	2453.0
88.0	360.34704184704185	852.1212121212121	335.0	824.0	390.0	883.0	1386.0
89.0	263.0894495412844	7.662844036697248	250.0	0.0	293.0	21.0	436.0
90.0	790.3702422145328	834.5882352941177	780.0	824.0	800.0	850.0	289.0
91.0	16.944687045123725	95.53420669577875	0.0	82.0	35.0	111.0	687.0
92.0	648.4928952042628	129.68206039076375	619.0	112.0	675.0	148.0	1126.0
93.0	779.0208254449072	14.401363120030291	730.0	0.0	829.0	39.0	2641.0
94.0	441.4971181556196	1008.3155619596541	424.0	989.0	458.0	1024.0	694.0
95.0	506.24386252045826	949.3322422258592	490.0	935.0	526.0	968.0	611.0
96.0	843.5507791509941	261.18162278344977	815.0	234.0	876.0	287.0	1861.0
97.0	152.01573849878935	701.7566585956416	135.0	685.0	170.0	720.0	826.0
98.0	529.2954545454545	171.7215909090909	510.0	160.0	552.0	187.0	704.0
99.0	606.5632653061225	164.28571428571428	595.0	149.0	617.0	183.0	490.0
100.0	315.98039215686276	296.61764705882354	300.0	284.0	330.0	312.0	612.0
101.0	154.58270106221548	428.2443095599393	140.0	412.0	171.0	442.0	659.0
102.0	249.77362893815635	599.8506417736289	227.0	583.0	277.0	613.0	857.0
103.0	49.71920529801324	634.4675496688742	34.0	612.0	65.0	653.0	755.0
104.0	789.7019089574155	600.3002936857563	763.0	576.0	821.0	626.0	1362.0
105.0	539.6021505376344	756.4274193548387	528.0	747.0	556.0	769.0	372.0
106.0	188.24789915966386	935.1218487394958	176.0	924.0	203.0	950.0	476.0
107.0	497.9744897959184	347.9579081632653	485.0	324.0	513.0	375.0	784.0
108.0	189.7418994413408	298.4379888268156	161.0	273.0	217.0	323.0	1790.0
109.0	531.3731667571972	9.991852254209668	475.0	0.0	576.0	27.0	1841.0
110.0	84.14812680115274	497.471469740634	48.0	475.0	112.0	524.0	1735.0
111.0	613.539668700959	399.30688753269396	596.0	376.0	632.0	423.0	1147.0
112.0	472.2012578616352	1004.4819182389937	447.0	979.0	494.0	1024.0	1272.0
113.0	87.29146275149537	562.0592713431213	59.0	527.0	114.0	595.0	1839.0
114.0	719.2390350877193	725.4638157894736	704.0	700.0	737.0	745.0	912.0
115.0	745.6037151702786	136.687306501548	732.0	118.0	759.0	155.0	646.0
116.0	532.2272047832586	733.2272047832586	501.0	716.0	567.0	754.0	1338.0
117.0	126.70212765957447	57.66808510638298	118.0	49.0	136.0	68.0	235.0
