label_id	anchor_y	anchor_x	bb_min_y	bb_min_x	bb_max_y	bb_max_x	n_pixels	cell
1.0	21.0	936.0	13.0	925.0	29.0	945.0	183.0	control
2.0	41.0	960.0	29.0	948.0	46.0	967.0	173.0	control
3.0	919.0	353.0	907.0	339.0	930.0	366.0	471.0	control
4.0	6.0	352.0	0.0	337.0	14.0	367.0	370.0	infected
5.0	575.0	1018.0	560.0	1009.0	591.0	1024.0	268.0	infected
6.0	469.0	364.0	464.0	353.0	481.0	375.0	225.0	control
7.0	925.0	658.0	915.0	644.0	930.0	672.0	253.0	infected
8.0	924.0	765.0	916.0	743.0	930.0	786.0	432.0	infected
9.0	42.0	934.0	24.0	918.0	67.0	953.0	963.0	control
10.0	653.0	172.0	628.0	157.0	673.0	194.0	840.0	infected
11.0	926.0	552.0	920.0	544.0	930.0	561.0	114.0	infected
12.0	4.0	790.0	0.0	778.0	10.0	802.0	183.0	control
13.0	28.0	962.0	12.0	942.0	44.0	971.0	618.0	control
14.0	4.0	327.0	0.0	315.0	13.0	338.0	213.0	control
15.0	7.0	894.0	0.0	844.0	23.0	945.0	1436.0	infected
16.0	259.0	1019.0	242.0	1013.0	277.0	1024.0	296.0	infected
17.0	916.0	516.0	901.0	488.0	930.0	546.0	1137.0	infected
18.0	5.0	33.0	0.0	0.0	22.0	74.0	760.0	infected
19.0	670.0	898.0	663.0	890.0	678.0	905.0	147.0	infected
20.0	38.0	80.0	19.0	62.0	59.0	105.0	1005.0	infected
21.0	258.0	908.0	237.0	880.0	272.0	943.0	1285.0	control
22.0	806.0	235.0	796.0	229.0	813.0	245.0	119.0	infected
23.0	199.0	799.0	168.0	768.0	227.0	833.0	2518.0	infected
24.0	479.0	896.0	465.0	877.0	496.0	914.0	699.0	infected
25.0	51.0	1004.0	35.0	984.0	71.0	1024.0	1129.0	infected
26.0	80.0	949.0	66.0	939.0	96.0	962.0	447.0	infected
27.0	824.0	455.0	811.0	439.0	840.0	469.0	608.0	infected
28.0	309.0	1013.0	276.0	998.0	344.0	1024.0	978.0	infected
29.0	223.0	682.0	191.0	657.0	252.0	704.0	1847.0	infected
30.0	572.0	466.0	562.0	454.0	583.0	478.0	399.0	infected
31.0	72.0	66.0	55.0	51.0	87.0	85.0	790.0	infected
32.0	314.0	961.0	301.0	948.0	325.0	979.0	339.0	infected
33.0	663.0	91.0	643.0	77.0	683.0	109.0	840.0	infected
34.0	480.0	356.0	472.0	347.0	489.0	366.0	219.0	control
35.0	322.0	223.0	306.0	214.0	341.0	233.0	468.0	infected
36.0	180.0	227.0	163.0	207.0	201.0	253.0	1027.0	infected
37.0	8.0	377.0	0.0	366.0	23.0	392.0	416.0	control
38.0	870.0	759.0	856.0	749.0	883.0	767.0	273.0	infected
39.0	410.0	710.0	394.0	690.0	425.0	729.0	550.0	infected
40.0	225.0	902.0	193.0	872.0	251.0	933.0	1764.0	control
41.0	81.0	925.0	44.0	908.0	115.0	951.0	1503.0	infected
42.0	12.0	981.0	0.0	945.0	44.0	1024.0	2405.0	control
43.0	381.0	1014.0	326.0	974.0	432.0	1024.0	2283.0	control
44.0	9.0	554.0	0.0	539.0	20.0	569.0	446.0	infected
45.0	853.0	274.0	834.0	259.0	877.0	293.0	625.0	control
46.0	456.0	192.0	430.0	182.0	476.0	208.0	796.0	control
47.0	8.0	407.0	0.0	391.0	19.0	422.0	459.0	control
48.0	588.0	468.0	582.0	459.0	598.0	475.0	156.0	control
49.0	583.0	445.0	571.0	425.0	597.0	464.0	628.0	control
50.0	150.0	545.0	126.0	522.0	176.0	562.0	1091.0	infected
51.0	825.0	182.0	803.0	160.0	853.0	217.0	1182.0	infected
52.0	280.0	984.0	253.0	951.0	310.0	1020.0	2452.0	control
53.0	147.0	993.0	138.0	981.0	161.0	1008.0	300.0	infected
54.0	424.0	330.0	408.0	321.0	432.0	347.0	271.0	infected
55.0	140.0	146.0	132.0	131.0	152.0	160.0	425.0	infected
56.0	144.0	216.0	129.0	194.0	167.0	236.0	1041.0	infected
57.0	34.0	301.0	11.0	286.0	59.0	317.0	957.0	infected
58.0	709.0	39.0	684.0	0.0	741.0	70.0	2373.0	infected
59.0	184.0	1016.0	170.0	1004.0	199.0	1024.0	375.0	infected
60.0	483.0	617.0	470.0	602.0	497.0	632.0	550.0	infected
61.0	585.0	978.0	569.0	964.0	601.0	991.0	561.0	infected
62.0	825.0	234.0	810.0	209.0	852.0	250.0	949.0	infected
63.0	908.0	806.0	878.0	775.0	930.0	840.0	2060.0	control
64.0	158.0	144.0	148.0	132.0	177.0	161.0	441.0	infected
65.0	22.0	754.0	0.0	726.0	54.0	785.0	2046.0	infected
66.0	41.0	393.0	32.0	373.0	62.0	407.0	607.0	infected
67.0	786.0	250.0	779.0	238.0	797.0	268.0	177.0	infected
68.0	664.0	886.0	651.0	863.0	684.0	895.0	798.0	infected
69.0	923.0	925.0	910.0	916.0	930.0	940.0	292.0	infected
70.0	734.0	488.0	719.0	473.0	752.0	507.0	424.0	infected
71.0	121.0	639.0	106.0	621.0	137.0	659.0	792.0	infected
72.0	78.0	107.0	40.0	78.0	118.0	119.0	1768.0	infected
73.0	322.0	906.0	301.0	880.0	347.0	933.0	1130.0	infected
74.0	853.0	959.0	817.0	948.0	883.0	993.0	1411.0	infected
75.0	918.0	1002.0	896.0	979.0	930.0	1019.0	926.0	infected
76.0	124.0	494.0	111.0	483.0	136.0	508.0	454.0	control
77.0	435.0	635.0	406.0	608.0	451.0	658.0	957.0	infected
78.0	276.0	31.0	258.0	0.0	302.0	65.0	1211.0	infected
79.0	293.0	753.0	278.0	736.0	310.0	777.0	844.0	infected
80.0	904.0	605.0	882.0	589.0	924.0	617.0	610.0	infected
81.0	841.0	369.0	810.0	334.0	885.0	412.0	2944.0	infected
82.0	356.0	773.0	337.0	764.0	378.0	787.0	623.0	infected
83.0	359.0	612.0	346.0	591.0	371.0	634.0	632.0	infected
84.0	694.0	875.0	680.0	863.0	707.0	892.0	520.0	infected
85.0	164.0	252.0	145.0	229.0	179.0	277.0	915.0	infected
86.0	627.0	178.0	612.0	160.0	645.0	201.0	845.0	infected
87.0	78.0	857.0	55.0	838.0	100.0	872.0	818.0	infected
88.0	225.0	767.0	202.0	756.0	247.0	780.0	668.0	infected
89.0	506.0	589.0	494.0	574.0	523.0	608.0	697.0	control
90.0	63.0	544.0	47.0	522.0	82.0	559.0	852.0	infected
91.0	118.0	437.0	97.0	412.0	144.0	454.0	1175.0	infected
92.0	134.0	980.0	122.0	960.0	160.0	1009.0	1048.0	infected
93.0	274.0	872.0	259.0	850.0	289.0	890.0	690.0	infected
94.0	280.0	811.0	249.0	769.0	299.0	847.0	2129.0	infected
95.0	382.0	652.0	358.0	635.0	407.0	670.0	899.0	infected
96.0	286.0	528.0	278.0	518.0	297.0	539.0	283.0	infected
97.0	622.0	324.0	609.0	300.0	641.0	351.0	963.0	control
