label_id	anchor_y	anchor_x	bb_min_y	bb_min_x	bb_max_y	bb_max_x	n_pixels
1.0	662.0	575.0	649.0	566.0	677.0	585.0	316.0
2.0	3.0	344.0	0.0	331.0	11.0	357.0	167.0
3.0	687.0	257.0	668.0	241.0	694.0	267.0	198.0
4.0	917.0	117.0	892.0	100.0	930.0	125.0	397.0
5.0	423.0	443.0	406.0	439.0	433.0	458.0	228.0
6.0	927.0	377.0	921.0	366.0	930.0	388.0	118.0
7.0	420.0	297.0	402.0	284.0	440.0	315.0	684.0
8.0	6.0	597.0	0.0	590.0	23.0	615.0	310.0
9.0	194.0	1020.0	185.0	1015.0	204.0	1024.0	104.0
10.0	886.0	730.0	859.0	708.0	905.0	741.0	633.0
11.0	168.0	1.0	161.0	0.0	177.0	6.0	52.0
12.0	224.0	11.0	202.0	0.0	244.0	24.0	831.0
13.0	821.0	358.0	806.0	340.0	840.0	378.0	395.0
14.0	44.0	370.0	29.0	353.0	60.0	390.0	712.0
15.0	869.0	1019.0	853.0	1014.0	885.0	1024.0	205.0
16.0	10.0	698.0	0.0	670.0	40.0	735.0	1568.0
17.0	415.0	454.0	406.0	447.0	428.0	466.0	289.0
18.0	273.0	163.0	266.0	152.0	284.0	174.0	150.0
19.0	906.0	93.0	892.0	72.0	923.0	116.0	780.0
20.0	309.0	1014.0	279.0	987.0	343.0	1024.0	1223.0
21.0	721.0	7.0	707.0	0.0	735.0	18.0	361.0
22.0	921.0	400.0	912.0	386.0	930.0	416.0	401.0
23.0	7.0	581.0	0.0	569.0	19.0	590.0	318.0
24.0	804.0	10.0	783.0	0.0	826.0	25.0	934.0
25.0	620.0	1019.0	599.0	1010.0	642.0	1024.0	344.0
26.0	916.0	507.0	893.0	414.0	930.0	598.0	4148.0
27.0	710.0	312.0	698.0	300.0	726.0	319.0	302.0
28.0	7.0	931.0	0.0	910.0	20.0	949.0	555.0
29.0	923.0	40.0	911.0	13.0	930.0	66.0	676.0
30.0	191.0	14.0	176.0	0.0	207.0	33.0	682.0
31.0	696.0	271.0	677.0	235.0	718.0	304.0	1289.0
32.0	7.0	390.0	0.0	368.0	26.0	412.0	633.0
33.0	282.0	14.0	249.0	0.0	316.0	42.0	1592.0
34.0	924.0	154.0	908.0	135.0	930.0	175.0	433.0
35.0	422.0	762.0	409.0	743.0	442.0	777.0	672.0
36.0	263.0	971.0	247.0	956.0	284.0	987.0	523.0
37.0	838.0	1020.0	825.0	1012.0	853.0	1024.0	159.0
38.0	859.0	715.0	827.0	693.0	895.0	730.0	1368.0
39.0	463.0	1008.0	422.0	987.0	505.0	1024.0	1853.0
40.0	16.0	216.0	0.0	194.0	38.0	240.0	1112.0
41.0	849.0	1010.0	833.0	995.0	866.0	1022.0	526.0
42.0	611.0	182.0	587.0	157.0	637.0	198.0	1176.0
43.0	7.0	556.0	0.0	542.0	17.0	571.0	403.0
44.0	383.0	1018.0	365.0	1004.0	405.0	1024.0	441.0
45.0	511.0	1013.0	488.0	989.0	540.0	1024.0	886.0
46.0	434.0	315.0	419.0	303.0	443.0	333.0	428.0
47.0	150.0	394.0	128.0	372.0	170.0	418.0	1243.0
48.0	270.0	145.0	253.0	132.0	295.0	173.0	942.0
49.0	229.0	574.0	199.0	552.0	247.0	595.0	1223.0
50.0	716.0	289.0	698.0	264.0	737.0	313.0	1161.0
51.0	520.0	531.0	495.0	508.0	537.0	552.0	1166.0
52.0	661.0	182.0	646.0	163.0	682.0	201.0	832.0
53.0	703.0	1012.0	687.0	995.0	717.0	1024.0	608.0
54.0	667.0	290.0	658.0	279.0	679.0	299.0	319.0
55.0	811.0	371.0	800.0	353.0	824.0	387.0	629.0
56.0	238.0	634.0	225.0	620.0	249.0	646.0	456.0
57.0	637.0	620.0	612.0	605.0	661.0	639.0	804.0
58.0	614.0	586.0	583.0	559.0	640.0	612.0	1257.0
59.0	527.0	571.0	510.0	550.0	544.0	594.0	1136.0
60.0	90.0	481.0	65.0	452.0	113.0	511.0	1380.0
61.0	347.0	47.0	331.0	34.0	367.0	61.0	709.0
62.0	678.0	712.0	657.0	690.0	707.0	740.0	1309.0
63.0	444.0	183.0	428.0	169.0	463.0	203.0	768.0
64.0	351.0	24.0	315.0	1.0	393.0	37.0	1390.0
65.0	153.0	555.0	134.0	518.0	173.0	575.0	988.0
66.0	595.0	449.0	565.0	425.0	615.0	481.0	1573.0
67.0	635.0	83.0	610.0	60.0	657.0	105.0	1107.0
68.0	657.0	660.0	640.0	645.0	676.0	674.0	635.0
69.0	424.0	614.0	397.0	594.0	458.0	630.0	1163.0
70.0	586.0	143.0	566.0	117.0	604.0	162.0	949.0
71.0	105.0	315.0	80.0	301.0	136.0	336.0	924.0
72.0	172.0	20.0	157.0	2.0	183.0	39.0	638.0
73.0	705.0	719.0	687.0	705.0	726.0	733.0	655.0
74.0	661.0	41.0	645.0	26.0	676.0	58.0	529.0
75.0	8.0	990.0	0.0	949.0	24.0	1024.0	1347.0
76.0	676.0	94.0	643.0	79.0	696.0	127.0	1319.0
77.0	59.0	390.0	13.0	340.0	101.0	432.0	2956.0
78.0	122.0	298.0	106.0	274.0	140.0	319.0	955.0
79.0	550.0	721.0	533.0	709.0	566.0	734.0	646.0
80.0	9.0	115.0	0.0	73.0	35.0	154.0	1682.0
81.0	254.0	120.0	229.0	96.0	273.0	148.0	1427.0
82.0	49.0	410.0	31.0	401.0	57.0	425.0	460.0
83.0	144.0	509.0	104.0	482.0	179.0	534.0	1736.0
84.0	303.0	685.0	281.0	667.0	329.0	705.0	991.0
85.0	75.0	616.0	40.0	594.0	117.0	651.0	2174.0
86.0	273.0	739.0	259.0	721.0	291.0	754.0	797.0
87.0	849.0	448.0	834.0	433.0	867.0	465.0	752.0
88.0	111.0	774.0	79.0	747.0	141.0	797.0	1949.0
89.0	907.0	163.0	889.0	152.0	926.0	177.0	531.0
90.0	173.0	521.0	162.0	497.0	194.0	542.0	952.0
91.0	97.0	644.0	77.0	618.0	109.0	670.0	1104.0
92.0	28.0	585.0	10.0	557.0	41.0	615.0	823.0
93.0	907.0	985.0	879.0	955.0	930.0	1013.0	1801.0
94.0	888.0	356.0	846.0	321.0	912.0	400.0	2331.0
95.0	116.0	643.0	105.0	618.0	136.0	674.0	1090.0
96.0	505.0	418.0	490.0	385.0	533.0	450.0	1281.0
97.0	34.0	642.0	17.0	613.0	47.0	673.0	1089.0
98.0	610.0	606.0	596.0	593.0	628.0	624.0	638.0
99.0	684.0	310.0	665.0	297.0	702.0	324.0	703.0
100.0	718.0	698.0	701.0	686.0	735.0	715.0	691.0
101.0	772.0	532.0	739.0	500.0	792.0	549.0	1390.0
102.0	921.0	709.0	910.0	695.0	930.0	724.0	383.0
103.0	179.0	368.0	158.0	335.0	213.0	394.0	1609.0
104.0	62.0	705.0	35.0	687.0	82.0	737.0	1357.0
105.0	485.0	840.0	466.0	815.0	505.0	868.0	1394.0
106.0	44.0	575.0	36.0	560.0	59.0	592.0	486.0
107.0	789.0	242.0	772.0	232.0	814.0	261.0	637.0
108.0	906.0	416.0	889.0	392.0	924.0	438.0	1024.0
109.0	623.0	806.0	606.0	791.0	643.0	818.0	499.0
110.0	27.0	718.0	16.0	704.0	40.0	734.0	555.0
111.0	372.0	134.0	334.0	116.0	413.0	165.0	1591.0
112.0	266.0	994.0	246.0	979.0	282.0	1015.0	765.0
113.0	487.0	328.0	467.0	302.0	512.0	351.0	1183.0
114.0	279.0	73.0	261.0	40.0	309.0	104.0	1985.0
115.0	674.0	632.0	645.0	606.0	707.0	660.0	2021.0
116.0	906.0	215.0	885.0	190.0	930.0	243.0	1481.0
117.0	611.0	688.0	587.0	675.0	634.0	708.0	1007.0
118.0	720.0	790.0	704.0	777.0	738.0	805.0	559.0
119.0	134.0	9.0	103.0	0.0	162.0	35.0	1195.0
120.0	291.0	656.0	270.0	634.0	311.0	678.0	1196.0
121.0	376.0	69.0	362.0	49.0	395.0	86.0	727.0
122.0	806.0	499.0	785.0	480.0	827.0	515.0	998.0
123.0	922.0	287.0	866.0	208.0	930.0	338.0	2612.0
124.0	682.0	590.0	672.0	572.0	695.0	609.0	553.0
125.0	301.0	713.0	282.0	692.0	320.0	736.0	1008.0
126.0	255.0	404.0	214.0	380.0	298.0	423.0	1939.0
127.0	393.0	360.0	366.0	329.0	414.0	385.0	1644.0
128.0	455.0	311.0	435.0	289.0	473.0	336.0	1242.0
129.0	885.0	415.0	869.0	398.0	895.0	435.0	625.0
130.0	824.0	1000.0	808.0	985.0	846.0	1023.0	841.0
131.0	799.0	419.0	752.0	383.0	845.0	452.0	3457.0
132.0	360.0	429.0	344.0	400.0	382.0	456.0	1484.0
133.0	784.0	181.0	761.0	150.0	811.0	209.0	1575.0
134.0	864.0	430.0	844.0	416.0	884.0	446.0	701.0
135.0	299.0	599.0	279.0	578.0	319.0	618.0	727.0
136.0	659.0	61.0	634.0	46.0	679.0	81.0	894.0
137.0	520.0	725.0	504.0	711.0	535.0	745.0	842.0
