label_id	anchor_y	anchor_x	bb_min_y	bb_min_x	bb_max_y	bb_max_x	n_pixels	cell
1.0	382.2	388.05	373.1	378.3	391.3	401.05	450.0	infected
2.0	48.1	393.90000000000003	40.95	390.0	55.9	400.40000000000003	169.0	infected
3.0	581.1	3.25	573.3000000000001	0.0	590.2	13.0	203.0	infected
4.0	590.2	151.45000000000002	585.0	135.20000000000002	603.85	163.15	644.0	control
5.0	399.1	332.15000000000003	393.25	328.90000000000003	404.3	335.40000000000003	84.0	control
6.0	144.3	258.05	137.8	251.55	156.0	268.45	362.0	infected
7.0	417.3	395.2	408.85	387.40000000000003	423.8	403.65000000000003	305.0	infected
8.0	2.6	239.20000000000002	0.0	232.05	6.5	246.35	182.0	infected
9.0	389.35	332.15000000000003	382.2	313.95	399.75	349.7	967.0	control
10.0	497.90000000000003	365.95	492.7	361.40000000000003	503.75	369.2	129.0	control
11.0	140.4	5.8500000000000005	128.05	0.0	154.70000000000002	18.2	584.0	infected
12.0	150.8	662.35	133.9	650.0	171.6	665.6	681.0	infected
13.0	353.6	247.0	351.0	238.55	362.05	252.20000000000002	148.0	control
14.0	513.5	2.6	507.0	0.0	521.3000000000001	7.15	175.0	infected
15.0	3.9000000000000004	200.20000000000002	0.0	187.20000000000002	10.4	213.85	546.0	control
16.0	489.45	352.3	474.5	343.85	506.35	362.7	683.0	control
17.0	405.6	336.05	397.15000000000003	323.7	412.1	348.40000000000003	504.0	control
18.0	43.550000000000004	240.5	40.95	235.3	49.4	247.65	145.0	control
19.0	488.8	365.95	481.65000000000003	356.85	495.95	375.7	353.0	control
20.0	3.25	521.95	0.0	512.85	9.1	531.7	281.0	infected
21.0	601.25	459.55	598.0	451.1	604.5	468.65000000000003	211.0	control
22.0	401.05	9.1	373.1	0.0	427.7	22.1	1992.0	infected
23.0	3.25	28.6	0.0	18.2	7.800000000000001	39.65	331.0	infected
24.0	154.05	3.9000000000000004	145.6	0.0	163.8	11.05	347.0	infected
25.0	451.75	4.55	439.40000000000003	0.0	465.40000000000003	11.700000000000001	500.0	infected
26.0	329.55	5.8500000000000005	315.90000000000003	0.0	347.75	16.900000000000002	939.0	infected
27.0	360.1	242.45000000000002	356.2	237.25	366.6	248.95000000000002	212.0	control
28.0	4.55	373.1	0.0	368.55	10.4	378.95	152.0	infected
29.0	2.6	440.7	0.0	430.95	9.75	451.1	271.0	infected
30.0	567.45	112.45	559.65	107.25	572.0	121.55	208.0	infected
31.0	562.9	16.900000000000002	551.2	0.0	579.15	35.1	1471.0	infected
32.0	29.25	16.25	0.0	0.0	60.45	35.1	2772.0	infected
33.0	416.0	204.1	405.6	197.6	425.75	211.9	284.0	infected
34.0	558.35	118.95	551.85	113.75	568.75	130.0	347.0	infected
35.0	248.3	661.7	239.20000000000002	657.8000000000001	258.05	665.6	273.0	infected
36.0	51.35	243.1	42.25	223.6	57.85	260.65000000000003	838.0	control
37.0	386.1	575.9	378.3	569.4	394.55	588.9	239.0	infected
38.0	544.0500000000001	299.0	530.4	287.95	559.0	311.35	901.0	infected
39.0	6.5	655.85	0.0	643.5	19.5	665.6	693.0	infected
40.0	283.40000000000003	222.3	277.55	213.20000000000002	291.2	230.75	344.0	infected
41.0	341.25	224.25	338.65000000000003	219.70000000000002	344.5	230.1	76.0	control
42.0	343.2	390.65000000000003	337.35	373.75	351.65000000000003	406.90000000000003	594.0	infected
43.0	53.95	214.5	47.45	208.0	65.65	224.25	434.0	infected
44.0	219.05	508.3	196.3	493.35	242.45000000000002	529.1	2060.0	infected
45.0	351.65000000000003	152.1	341.90000000000003	139.1	363.35	165.75	722.0	infected
46.0	390.0	210.6	382.2	203.45000000000002	400.40000000000003	219.05	362.0	infected
47.0	495.3	13.0	477.1	0.0	514.8000000000001	31.85	2067.0	infected
48.0	412.75	386.75	399.75	373.1	423.15000000000003	398.45	604.0	infected
49.0	12.35	432.25	0.0	421.2	26.650000000000002	441.35	815.0	infected
50.0	250.25	521.95	225.55	494.0	274.3	555.1	3035.0	control
51.0	20.150000000000002	159.9	13.0	148.20000000000002	29.25	172.25	659.0	control
52.0	31.200000000000003	626.6	25.35	620.1	38.35	632.45	230.0	infected
53.0	542.75	150.15	533.65	141.70000000000002	553.8000000000001	156.0	437.0	infected
54.0	136.5	585.65	120.25	568.1	147.55	598.65	1076.0	control
55.0	245.05	149.5	234.65	135.85	252.85000000000002	164.45000000000002	672.0	infected
56.0	510.90000000000003	428.35	503.1	416.65000000000003	523.9	437.45	440.0	control
57.0	482.95	421.85	466.7	405.6	503.75	428.35	1026.0	control
58.0	601.25	408.2	593.45	394.55	604.5	423.8	429.0	control
59.0	41.6	401.7	33.15	395.85	52.0	410.15000000000003	406.0	infected
60.0	317.2	360.75	303.55	344.5	329.55	377.0	1246.0	control
61.0	378.3	176.8	370.5	164.45000000000002	385.45	189.15	543.0	infected
62.0	295.75	286.65000000000003	285.35	272.35	304.85	303.55	868.0	infected
63.0	299.0	259.35	290.55	248.95000000000002	308.1	269.75	536.0	infected
64.0	152.1	479.05	133.25	458.90000000000003	172.25	494.65000000000003	1478.0	infected
65.0	330.2	194.35	312.65000000000003	174.85	343.85	215.8	1552.0	infected
66.0	568.75	133.25	557.7	120.9	578.5	141.70000000000002	832.0	infected
67.0	523.9	280.8	512.2	261.95	536.9	298.35	1161.0	infected
68.0	599.95	147.55	593.45	135.20000000000002	604.5	161.85	439.0	infected
69.0	28.6	655.2	16.25	641.5500000000001	43.550000000000004	665.6	1056.0	control
70.0	535.6	5.8500000000000005	520.65	0.0	546.65	21.45	757.0	infected
71.0	464.75	342.55	456.3	332.8	473.85	351.65000000000003	602.0	infected
72.0	330.85	219.05	321.75	212.55	340.6	227.5	466.0	infected
73.0	444.6	178.1	436.15000000000003	168.35	456.3	185.9	539.0	infected
74.0	2.6	317.85	0.0	299.0	15.600000000000001	337.35	854.0	infected
75.0	382.2	202.8	373.75	195.0	393.25	208.0	288.0	infected
76.0	31.200000000000003	395.85	24.7	384.8	42.25	408.85	538.0	infected
77.0	387.40000000000003	460.85	378.95	453.7	396.5	471.25	525.0	infected
78.0	443.3	334.75	433.55	323.05	457.6	347.1	884.0	control
79.0	362.7	187.20000000000002	355.55	178.75	372.45	193.70000000000002	304.0	infected
80.0	172.25	456.95	163.15	440.7	184.6	472.55	926.0	infected
81.0	99.45	176.15	89.05	164.45000000000002	109.85000000000001	189.8	841.0	infected
82.0	550.5500000000001	10.4	542.1	0.0	560.95	24.7	663.0	infected
83.0	312.65000000000003	78.65	300.3	65.0	322.40000000000003	92.3	738.0	infected
84.0	3.25	566.8000000000001	0.0	555.75	11.700000000000001	577.85	383.0	infected
85.0	5.8500000000000005	485.55	0.0	474.5	17.55	498.55	729.0	control
86.0	549.25	91.65	540.15	85.8	560.3000000000001	100.10000000000001	538.0	infected
87.0	219.05	452.40000000000003	199.55	435.5	240.5	471.90000000000003	1984.0	infected
88.0	3.9000000000000004	418.6	0.0	411.45	11.05	425.75	284.0	infected
89.0	237.9	164.45000000000002	225.55	158.6	247.65	176.8	534.0	infected
90.0	250.9	202.8	240.5	193.70000000000002	260.0	213.20000000000002	685.0	control
91.0	427.7	328.25	410.8	297.05	444.6	358.15000000000003	2774.0	infected
92.0	40.95	35.75	32.5	27.3	48.1	44.85	407.0	infected
93.0	120.25	557.7	105.3	546.65	141.05	572.65	1279.0	infected
94.0	248.95000000000002	124.15	238.55	112.45	260.65000000000003	137.8	835.0	infected
95.0	528.45	410.15000000000003	503.75	388.05	547.3000000000001	432.90000000000003	1944.0	control
96.0	221.0	604.5	195.0	586.3000000000001	241.15	628.5500000000001	2095.0	infected
97.0	590.2	397.8	581.1	389.35	599.3000000000001	409.5	431.0	infected
98.0	271.05	215.8	259.35	206.70000000000002	283.40000000000003	223.6	573.0	infected
99.0	390.0	191.1	376.35	179.4	403.65000000000003	201.5	815.0	infected
100.0	430.3	42.25	424.45	35.75	438.1	49.4	288.0	infected
101.0	276.25	657.8000000000001	271.7	644.8000000000001	289.90000000000003	665.6	477.0	infected
102.0	158.6	434.85	147.55	426.40000000000003	173.55	448.5	626.0	infected
103.0	180.05	101.4	161.20000000000002	91.65	192.4	117.65	959.0	infected
104.0	12.35	389.35	0.0	361.40000000000003	37.050000000000004	422.5	3588.0	infected
105.0	2.6	77.35000000000001	0.0	66.3	13.65	92.3	373.0	infected
106.0	371.15000000000003	579.8000000000001	361.40000000000003	566.8000000000001	382.85	596.7	1133.0	infected
107.0	427.05	459.55	411.45	443.95	445.90000000000003	471.90000000000003	1409.0	infected
108.0	565.5	250.25	546.65	235.95000000000002	581.75	263.90000000000003	1464.0	infected
109.0	181.35	84.5	167.05	70.85000000000001	198.25	95.55	1198.0	infected
110.0	359.45	480.35	349.7	463.45	371.15000000000003	496.6	1182.0	infected
111.0	46.800000000000004	623.35	35.1	612.3000000000001	55.9	634.4	599.0	infected
112.0	388.7	173.55	380.25	163.8	399.1	183.3	543.0	infected
113.0	550.5500000000001	521.95	533.0	503.75	568.1	538.85	1540.0	infected
114.0	317.2	419.90000000000003	304.2	406.90000000000003	329.55	430.3	842.0	infected
115.0	287.95	473.85	266.5	465.40000000000003	309.40000000000003	483.6	1003.0	infected
116.0	170.95000000000002	529.75	160.55	521.3000000000001	181.35	536.9	570.0	infected
117.0	398.45	382.2	390.65000000000003	369.85	410.15000000000003	395.2	707.0	infected
118.0	98.15	386.75	81.9	380.25	118.3	401.05	993.0	infected
119.0	233.35	393.90000000000003	217.75	378.3	245.05	405.6	900.0	infected
120.0	566.15	510.25	557.0500000000001	500.5	576.5500000000001	521.3000000000001	490.0	infected
121.0	233.35	177.45000000000002	222.95000000000002	169.65	243.75	186.55	651.0	infected
122.0	267.8	621.4	261.3	612.3000000000001	278.2	632.45	569.0	infected
