label_id	anchor_y	anchor_x	bb_min_y	bb_min_x	bb_max_y	bb_max_x	n_pixels
1.0	909.0	910.0	902.0	906.0	913.0	915.0	52.0
2.0	896.0	930.0	880.0	912.0	913.0	948.0	729.0
3.0	406.0	126.0	398.0	121.0	415.0	131.0	121.0
4.0	927.0	777.0	923.0	770.0	930.0	784.0	76.0
5.0	7.0	171.0	0.0	155.0	19.0	187.0	418.0
6.0	388.0	117.0	370.0	103.0	404.0	132.0	566.0
7.0	910.0	300.0	881.0	288.0	930.0	322.0	913.0
8.0	4.0	518.0	0.0	508.0	10.0	530.0	149.0
9.0	925.0	519.0	914.0	506.0	930.0	532.0	217.0
10.0	874.0	822.0	870.0	820.0	879.0	825.0	16.0
11.0	693.0	993.0	690.0	986.0	701.0	1003.0	112.0
12.0	775.0	939.0	768.0	929.0	782.0	952.0	214.0
13.0	238.0	1014.0	220.0	1004.0	257.0	1024.0	629.0
14.0	922.0	289.0	913.0	277.0	930.0	301.0	324.0
15.0	920.0	928.0	906.0	906.0	930.0	951.0	696.0
16.0	199.0	495.0	185.0	480.0	219.0	508.0	395.0
17.0	325.0	5.0	312.0	0.0	338.0	11.0	232.0
18.0	427.0	1011.0	396.0	995.0	457.0	1024.0	1377.0
19.0	916.0	17.0	893.0	0.0	930.0	44.0	1166.0
20.0	376.0	821.0	363.0	807.0	383.0	839.0	287.0
21.0	710.0	236.0	704.0	233.0	717.0	244.0	74.0
22.0	589.0	6.0	561.0	0.0	629.0	38.0	1336.0
23.0	294.0	5.0	283.0	0.0	305.0	11.0	195.0
24.0	856.0	291.0	851.0	282.0	862.0	300.0	122.0
25.0	923.0	904.0	916.0	888.0	930.0	921.0	344.0
26.0	924.0	62.0	919.0	42.0	930.0	82.0	340.0
27.0	410.0	987.0	356.0	970.0	473.0	1024.0	2685.0
28.0	799.0	351.0	792.0	346.0	808.0	360.0	125.0
29.0	871.0	811.0	865.0	802.0	880.0	822.0	183.0
30.0	599.0	663.0	593.0	655.0	607.0	673.0	139.0
31.0	368.0	823.0	360.0	814.0	375.0	834.0	214.0
32.0	268.0	9.0	246.0	0.0	289.0	27.0	729.0
33.0	879.0	824.0	862.0	807.0	903.0	845.0	837.0
34.0	6.0	1011.0	0.0	999.0	16.0	1024.0	296.0
35.0	6.0	598.0	0.0	587.0	16.0	610.0	266.0
36.0	116.0	455.0	108.0	451.0	125.0	461.0	105.0
37.0	922.0	551.0	914.0	525.0	930.0	578.0	718.0
38.0	5.0	707.0	0.0	686.0	15.0	729.0	395.0
39.0	823.0	9.0	806.0	0.0	843.0	28.0	598.0
40.0	6.0	118.0	0.0	76.0	19.0	160.0	1080.0
41.0	7.0	206.0	0.0	186.0	16.0	228.0	481.0
42.0	286.0	227.0	280.0	219.0	292.0	235.0	118.0
43.0	649.0	125.0	637.0	115.0	664.0	136.0	283.0
44.0	714.0	1014.0	689.0	988.0	745.0	1024.0	1160.0
45.0	635.0	97.0	604.0	72.0	658.0	121.0	1156.0
46.0	600.0	359.0	585.0	345.0	619.0	376.0	553.0
47.0	752.0	939.0	748.0	927.0	770.0	959.0	324.0
48.0	138.0	438.0	115.0	420.0	156.0	459.0	1072.0
49.0	457.0	391.0	444.0	373.0	477.0	408.0	649.0
50.0	416.0	433.0	398.0	417.0	436.0	454.0	693.0
51.0	841.0	582.0	832.0	573.0	853.0	602.0	377.0
52.0	755.0	264.0	735.0	256.0	762.0	281.0	263.0
53.0	632.0	659.0	626.0	646.0	654.0	674.0	281.0
54.0	584.0	633.0	568.0	622.0	602.0	646.0	463.0
55.0	97.0	490.0	76.0	467.0	115.0	513.0	1088.0
56.0	870.0	293.0	860.0	282.0	883.0	304.0	356.0
57.0	45.0	293.0	26.0	262.0	64.0	326.0	1384.0
58.0	811.0	362.0	797.0	352.0	824.0	374.0	312.0
59.0	488.0	953.0	468.0	941.0	505.0	966.0	709.0
60.0	128.0	17.0	112.0	0.0	148.0	41.0	1006.0
61.0	557.0	288.0	534.0	274.0	579.0	301.0	725.0
62.0	6.0	408.0	0.0	398.0	15.0	420.0	260.0
63.0	908.0	890.0	888.0	864.0	930.0	916.0	1188.0
64.0	641.0	684.0	614.0	655.0	657.0	700.0	1130.0
65.0	561.0	269.0	548.0	254.0	576.0	280.0	489.0
66.0	778.0	481.0	727.0	427.0	808.0	506.0	3005.0
67.0	10.0	744.0	0.0	717.0	29.0	769.0	866.0
68.0	761.0	948.0	754.0	939.0	773.0	961.0	275.0
69.0	153.0	890.0	137.0	865.0	166.0	911.0	652.0
70.0	676.0	1011.0	649.0	984.0	693.0	1024.0	1154.0
71.0	917.0	442.0	898.0	423.0	930.0	463.0	903.0
72.0	624.0	1008.0	595.0	983.0	652.0	1024.0	1514.0
73.0	277.0	791.0	255.0	767.0	303.0	807.0	938.0
74.0	818.0	592.0	780.0	555.0	855.0	633.0	2364.0
75.0	94.0	453.0	71.0	426.0	125.0	472.0	1628.0
76.0	543.0	299.0	529.0	290.0	557.0	312.0	339.0
77.0	245.0	43.0	232.0	25.0	256.0	58.0	424.0
78.0	832.0	844.0	819.0	828.0	850.0	861.0	570.0
79.0	288.0	502.0	263.0	452.0	318.0	557.0	2175.0
80.0	481.0	386.0	465.0	367.0	494.0	403.0	728.0
81.0	709.0	270.0	697.0	259.0	724.0	284.0	374.0
82.0	676.0	11.0	651.0	0.0	706.0	30.0	1235.0
83.0	214.0	770.0	183.0	750.0	245.0	790.0	1724.0
84.0	401.0	535.0	379.0	522.0	421.0	550.0	715.0
85.0	198.0	742.0	179.0	728.0	214.0	760.0	744.0
86.0	828.0	38.0	809.0	21.0	846.0	56.0	714.0
87.0	853.0	85.0	833.0	66.0	874.0	108.0	928.0
88.0	19.0	867.0	0.0	829.0	45.0	904.0	2107.0
89.0	602.0	756.0	572.0	732.0	630.0	780.0	1935.0
90.0	82.0	505.0	72.0	493.0	95.0	520.0	453.0
91.0	264.0	43.0	249.0	20.0	281.0	66.0	1020.0
92.0	609.0	677.0	583.0	655.0	632.0	701.0	1135.0
93.0	784.0	279.0	758.0	265.0	812.0	293.0	1070.0
94.0	636.0	342.0	617.0	319.0	650.0	361.0	847.0
95.0	33.0	473.0	18.0	458.0	50.0	488.0	556.0
96.0	145.0	810.0	120.0	784.0	170.0	832.0	1258.0
97.0	426.0	451.0	413.0	437.0	437.0	466.0	524.0
98.0	231.0	862.0	221.0	840.0	245.0	884.0	684.0
99.0	262.0	578.0	245.0	542.0	279.0	612.0	1399.0
100.0	123.0	525.0	115.0	510.0	138.0	537.0	330.0
101.0	744.0	794.0	736.0	787.0	753.0	804.0	186.0
102.0	509.0	392.0	491.0	367.0	531.0	418.0	1374.0
