label_id	anchor_x	anchor_y	bb_min_x	bb_min_y	bb_max_x	bb_max_y	n_pixels
1.0	2.9655172413793105	581.448275862069	0.0	571.0	9.0	593.0	145.0
2.0	9.041946308724832	13.808724832214764	0.0	0.0	25.0	39.0	596.0
3.0	674.928125	391.51875	665.0	382.0	688.0	407.0	320.0
4.0	520.5986842105264	1020.2236842105264	509.0	1016.0	534.0	1024.0	152.0
5.0	427.1067961165049	23.16504854368932	421.0	18.0	435.0	29.0	103.0
6.0	3.5376344086021505	481.19354838709677	0.0	475.0	9.0	488.0	93.0
7.0	772.9416058394161	863.1970802919708	766.0	853.0	785.0	875.0	137.0
8.0	318.03333333333336	3.72962962962963	300.0	0.0	335.0	11.0	270.0
9.0	511.6770538243626	423.1501416430595	497.0	415.0	525.0	433.0	353.0
10.0	605.8918918918919	1021.581081081081	597.0	1018.0	621.0	1024.0	74.0
11.0	3.494186046511628	894.5639534883721	0.0	884.0	10.0	907.0	172.0
12.0	587.0163398692811	441.83169934640523	569.0	427.0	603.0	458.0	612.0
13.0	872.6276595744681	5.677304964539007	860.0	0.0	885.0	14.0	282.0
14.0	797.0944444444444	1019.3722222222223	786.0	1014.0	810.0	1024.0	180.0
15.0	776.9175257731958	1018.8556701030927	765.0	1014.0	791.0	1024.0	194.0
16.0	753.2871621621622	865.2719594594595	736.0	850.0	774.0	878.0	592.0
17.0	100.08910891089108	229.9108910891089	95.0	223.0	110.0	240.0	101.0
18.0	545.8378378378378	620.4372019077902	533.0	600.0	558.0	647.0	629.0
19.0	710.7909319899244	217.20151133501258	697.0	201.0	722.0	233.0	397.0
20.0	689.4312553373185	213.82152006831768	674.0	176.0	707.0	246.0	1171.0
21.0	732.2114695340501	7.741935483870968	718.0	0.0	743.0	20.0	279.0
22.0	6.602888086642599	497.48736462093865	0.0	486.0	16.0	509.0	277.0
23.0	924.4659498207885	201.36917562724014	918.0	186.0	930.0	217.0	279.0
24.0	358.14814814814815	656.674074074074	346.0	646.0	378.0	669.0	405.0
25.0	272.2903225806452	1013.9641577060931	262.0	999.0	282.0	1024.0	279.0
26.0	923.1157270029673	321.593471810089	916.0	308.0	930.0	335.0	337.0
27.0	6.619047619047619	645.1994047619048	0.0	633.0	16.0	658.0	336.0
28.0	804.2578947368421	6.731578947368421	791.0	0.0	820.0	18.0	380.0
29.0	251.28671328671328	1017.3531468531469	239.0	1009.0	264.0	1024.0	286.0
30.0	16.892337536372455	962.0174587778855	0.0	947.0	45.0	980.0	1031.0
31.0	748.6412429378531	1016.6949152542373	735.0	1008.0	763.0	1024.0	354.0
32.0	876.8673835125448	1018.8172043010753	861.0	1013.0	893.0	1024.0	279.0
33.0	19.335280373831775	1001.0484813084112	0.0	971.0	39.0	1024.0	1712.0
34.0	328.0842105263158	943.9954887218045	314.0	929.0	344.0	961.0	665.0
35.0	562.6410256410256	387.4890788224122	531.0	366.0	590.0	409.0	1053.0
36.0	658.7484143763213	386.05919661733617	649.0	365.0	670.0	402.0	473.0
37.0	532.7067901234568	706.0462962962963	522.0	693.0	542.0	724.0	324.0
38.0	23.75074183976261	681.3367952522256	0.0	672.0	51.0	691.0	674.0
39.0	6.003448275862069	621.9137931034483	0.0	611.0	15.0	634.0	290.0
40.0	58.07414829659319	1015.8176352705411	41.0	1007.0	75.0	1024.0	499.0
41.0	583.4703488372093	727.9924418604651	553.0	697.0	606.0	764.0	1720.0
42.0	566.6936208445643	363.33962264150944	547.0	340.0	589.0	387.0	1113.0
43.0	698.5099132589839	141.76951672862452	679.0	106.0	727.0	174.0	1614.0
44.0	435.76103735720903	613.3553565915406	401.0	579.0	470.0	652.0	3239.0
45.0	656.7597087378641	411.9490291262136	649.0	398.0	668.0	427.0	412.0
46.0	775.8371467025572	890.4845222072678	761.0	870.0	792.0	917.0	743.0
47.0	130.08551307847083	1009.2444668008048	113.0	988.0	154.0	1024.0	994.0
48.0	8.882044560943644	145.00131061598952	0.0	126.0	24.0	168.0	763.0
49.0	13.913742690058479	73.62353801169591	0.0	37.0	44.0	108.0	1368.0
50.0	552.750448833034	6.631956912028725	526.0	0.0	577.0	18.0	557.0
51.0	618.1166666666667	778.7770833333333	599.0	756.0	644.0	801.0	1440.0
52.0	761.820652173913	842.0108695652174	748.0	820.0	777.0	863.0	736.0
53.0	527.986143187067	629.5080831408776	515.0	618.0	541.0	642.0	433.0
54.0	738.478680611424	197.4070796460177	719.0	174.0	768.0	219.0	1243.0
55.0	922.5495750708216	59.20963172804532	914.0	47.0	930.0	74.0	353.0
56.0	581.3380281690141	41.78697183098591	564.0	27.0	596.0	57.0	568.0
57.0	99.68527918781726	1010.5253807106599	80.0	992.0	115.0	1024.0	788.0
58.0	8.771043771043772	429.6683501683502	0.0	413.0	21.0	446.0	594.0
59.0	49.70166666666667	132.33	37.0	119.0	63.0	154.0	600.0
60.0	353.8311965811966	983.6602564102565	344.0	968.0	368.0	998.0	468.0
61.0	17.722826086956523	114.1268115942029	0.0	93.0	39.0	137.0	1104.0
62.0	286.7066079295154	730.0440528634361	265.0	701.0	314.0	753.0	1135.0
63.0	162.22516082916368	509.1415296640457	130.0	488.0	196.0	535.0	1399.0
64.0	691.7885245901639	174.94590163934427	677.0	161.0	707.0	190.0	610.0
65.0	916.1453260015711	550.4351924587588	898.0	526.0	930.0	575.0	1273.0
66.0	267.04548366431777	615.780269058296	237.0	591.0	297.0	643.0	1561.0
67.0	156.51513911620296	906.4799509001637	106.0	875.0	201.0	942.0	2444.0
68.0	924.5911330049261	247.64532019704433	915.0	236.0	930.0	262.0	203.0
69.0	260.4021909233177	933.5148669796557	245.0	919.0	278.0	951.0	639.0
70.0	696.9166666666666	55.18452380952381	685.0	41.0	708.0	66.0	336.0
71.0	920.533748701973	387.2429906542056	909.0	360.0	930.0	416.0	963.0
72.0	619.2322580645161	370.6567741935484	595.0	355.0	641.0	389.0	775.0
73.0	95.98397040690506	268.98643649815045	84.0	245.0	114.0	293.0	811.0
74.0	15.082213438735177	824.3881422924901	0.0	800.0	35.0	850.0	1265.0
75.0	755.0968208092486	175.70375722543352	738.0	163.0	772.0	190.0	692.0
76.0	122.38036809815951	848.0	108.0	840.0	136.0	858.0	326.0
77.0	707.3981481481482	991.917211328976	674.0	964.0	731.0	1024.0	1836.0
78.0	476.31964285714287	306.82678571428573	454.0	297.0	494.0	318.0	560.0
79.0	411.75475841874083	533.0790629575403	387.0	506.0	436.0	565.0	1366.0
80.0	434.32086330935255	6.561151079136691	404.0	0.0	472.0	21.0	695.0
81.0	103.75455079271873	187.2607163828538	72.0	158.0	142.0	222.0	1703.0
82.0	663.0861650485436	241.60679611650485	642.0	223.0	682.0	259.0	824.0
83.0	657.5077186963979	974.1740994854202	623.0	940.0	683.0	1007.0	1166.0
84.0	409.3680518078791	477.74851592012953	387.0	444.0	434.0	506.0	1853.0
85.0	34.854910714285715	65.59598214285714	24.0	52.0	48.0	82.0	448.0
86.0	419.3309566250743	403.2109328579917	397.0	375.0	457.0	431.0	1683.0
87.0	237.90347490347492	398.0939510939511	213.0	385.0	257.0	416.0	777.0
88.0	110.48655256723717	240.8166259168704	98.0	231.0	125.0	252.0	409.0
89.0	33.740196078431374	848.4617647058824	0.0	833.0	59.0	861.0	1020.0
90.0	618.1320512820513	647.4365384615385	599.0	618.0	641.0	681.0	1560.0
91.0	662.0110864745011	695.8780487804878	649.0	682.0	677.0	709.0	451.0
92.0	103.23118279569893	964.2305107526881	70.0	939.0	133.0	995.0	1488.0
93.0	538.7577903682719	656.6798866855524	524.0	640.0	551.0	684.0	706.0
94.0	109.06844106463879	551.0969581749049	96.0	537.0	125.0	570.0	526.0
95.0	807.6465256797583	790.97583081571	797.0	779.0	820.0	804.0	331.0
96.0	366.6236559139785	512.6236559139785	346.0	500.0	391.0	531.0	837.0
97.0	249.4512040557668	882.4499366286439	228.0	865.0	266.0	900.0	789.0
98.0	787.8717139852787	518.5457413249211	770.0	493.0	810.0	551.0	951.0
99.0	469.37564322469984	1000.5797598627787	456.0	960.0	488.0	1024.0	1166.0
100.0	315.3596153846154	203.03846153846155	302.0	189.0	330.0	216.0	520.0
101.0	561.5220500595948	97.00536352800954	541.0	57.0	585.0	130.0	1678.0
102.0	206.90317700453858	447.8668683812405	190.0	433.0	227.0	465.0	661.0
103.0	431.54785478547853	948.0181518151816	418.0	932.0	450.0	970.0	606.0
104.0	380.3350604490501	1012.8324697754749	366.0	996.0	395.0	1024.0	579.0
105.0	388.0938511326861	713.7847896440129	364.0	699.0	410.0	727.0	618.0
106.0	270.74640287769785	643.384892086331	248.0	623.0	290.0	671.0	1112.0
107.0	825.3485804416404	142.29652996845425	810.0	126.0	841.0	158.0	634.0
108.0	162.52691218130312	486.271954674221	145.0	463.0	179.0	503.0	706.0
109.0	817.6026666666667	98.97022222222222	789.0	57.0	849.0	139.0	2250.0
110.0	56.4860088365243	105.29749631811488	37.0	87.0	71.0	120.0	679.0
111.0	361.7037037037037	968.716049382716	352.0	959.0	372.0	978.0	243.0
112.0	568.4563937934724	669.239165329053	550.0	640.0	590.0	707.0	1869.0
113.0	191.4152078774617	1002.339715536105	133.0	968.0	250.0	1024.0	3656.0
114.0	318.56608811749	401.5514018691589	301.0	387.0	337.0	418.0	749.0
115.0	424.2530241935484	43.87096774193548	411.0	16.0	438.0	75.0	992.0
116.0	512.5131578947369	702.6438596491228	493.0	673.0	531.0	728.0	1140.0
117.0	558.4669926650366	286.11002444987776	543.0	261.0	574.0	309.0	818.0
118.0	670.0186440677966	932.435593220339	659.0	918.0	683.0	950.0	590.0
119.0	666.3489583333334	860.5729166666666	658.0	850.0	674.0	870.0	192.0
120.0	336.3353099730458	1008.355795148248	304.0	989.0	370.0	1024.0	1855.0
121.0	704.0701754385965	107.7719298245614	687.0	91.0	718.0	125.0	684.0
122.0	277.37822979659154	372.2451896646509	257.0	337.0	307.0	400.0	1819.0
123.0	891.175925925926	516.8194444444445	869.0	489.0	912.0	539.0	864.0
124.0	412.7062179121506	810.5219623502567	388.0	774.0	435.0	845.0	1753.0
125.0	687.2406702208682	692.3259710586443	668.0	665.0	706.0	714.0	1313.0
126.0	259.4044715447154	666.400406504065	247.0	652.0	273.0	680.0	492.0
127.0	670.0581395348837	1009.1996124031008	653.0	987.0	695.0	1024.0	1032.0
128.0	793.3694989106754	837.9472766884531	769.0	805.0	816.0	872.0	2295.0
129.0	903.3905228758169	91.85457516339869	877.0	71.0	930.0	117.0	1836.0
130.0	724.1132917038359	665.9090098126673	706.0	642.0	745.0	687.0	1121.0
131.0	66.41598360655738	980.4950819672131	39.0	925.0	92.0	1024.0	2440.0
132.0	876.8408602150538	155.98924731182797	859.0	133.0	902.0	178.0	930.0
133.0	678.2139130434782	752.7721739130435	664.0	733.0	690.0	776.0	575.0
134.0	628.7986111111111	127.82986111111111	615.0	116.0	644.0	141.0	576.0
135.0	914.3989266547406	159.90250447227191	886.0	139.0	930.0	189.0	1118.0
136.0	594.2587209302326	640.7238372093024	583.0	629.0	605.0	653.0	344.0
137.0	820.2273883036687	536.7882310207046	782.0	508.0	857.0	567.0	2753.0
138.0	707.4835680751173	31.28638497652582	687.0	15.0	730.0	49.0	639.0
139.0	532.1976331360946	363.71597633136093	515.0	345.0	550.0	383.0	845.0
140.0	893.0256944444444	982.8777777777777	870.0	953.0	922.0	1017.0	1440.0
141.0	480.159599074788	600.1148804934464	439.0	580.0	508.0	625.0	1297.0
142.0	336.4023569023569	492.53367003367003	314.0	481.0	355.0	504.0	594.0
143.0	672.4977578475336	156.23991031390133	661.0	144.0	684.0	171.0	446.0
144.0	99.10344827586206	860.4968652037618	79.0	843.0	116.0	881.0	638.0
145.0	206.7315914489311	518.5819477434679	191.0	497.0	222.0	539.0	842.0
146.0	542.7788546255507	321.7638766519824	524.0	297.0	564.0	354.0	1135.0
147.0	560.6677471636953	337.5316045380875	546.0	319.0	575.0	354.0	617.0
148.0	187.41647058823528	753.1576470588235	175.0	739.0	199.0	767.0	425.0
149.0	224.4354066985646	581.390749601276	213.0	559.0	236.0	599.0	627.0
150.0	773.3318211276734	31.668178872326635	737.0	0.0	806.0	74.0	3086.0
151.0	374.6372646184341	636.0703666997027	353.0	608.0	391.0	661.0	1009.0
