label_id	anchor_y	anchor_x	bb_min_y	bb_min_x	bb_max_y	bb_max_x	n_pixels
1.0	3.0	291.0	0.0	278.0	9.0	304.0	195.0
2.0	924.0	668.0	915.0	642.0	930.0	696.0	621.0
3.0	494.0	712.0	477.0	687.0	502.0	736.0	551.0
4.0	919.0	734.0	895.0	712.0	930.0	745.0	577.0
5.0	455.0	1019.0	444.0	1009.0	468.0	1024.0	232.0
6.0	916.0	894.0	890.0	868.0	930.0	926.0	1427.0
7.0	3.0	16.0	0.0	0.0	13.0	33.0	281.0
8.0	4.0	369.0	0.0	354.0	11.0	385.0	282.0
9.0	444.0	4.0	427.0	0.0	461.0	20.0	382.0
10.0	481.0	4.0	470.0	0.0	493.0	11.0	192.0
11.0	922.0	783.0	907.0	739.0	930.0	825.0	1258.0
12.0	4.0	72.0	0.0	60.0	14.0	86.0	197.0
13.0	304.0	4.0	281.0	0.0	328.0	13.0	463.0
14.0	71.0	1019.0	54.0	1015.0	89.0	1024.0	191.0
15.0	540.0	350.0	530.0	317.0	564.0	384.0	923.0
16.0	748.0	567.0	735.0	555.0	757.0	572.0	125.0
17.0	770.0	1016.0	712.0	999.0	831.0	1024.0	1673.0
18.0	4.0	264.0	0.0	246.0	14.0	283.0	279.0
19.0	11.0	190.0	0.0	153.0	34.0	225.0	1394.0
20.0	580.0	6.0	564.0	0.0	596.0	15.0	365.0
21.0	645.0	1016.0	620.0	1000.0	673.0	1024.0	852.0
22.0	327.0	394.0	316.0	381.0	343.0	407.0	301.0
23.0	8.0	669.0	0.0	650.0	25.0	688.0	678.0
24.0	339.0	22.0	309.0	0.0	371.0	57.0	2264.0
25.0	924.0	568.0	901.0	521.0	930.0	617.0	1035.0
26.0	761.0	554.0	752.0	544.0	771.0	565.0	207.0
27.0	740.0	557.0	729.0	543.0	754.0	566.0	316.0
28.0	14.0	864.0	0.0	825.0	43.0	902.0	1862.0
29.0	19.0	7.0	4.0	0.0	34.0	21.0	457.0
30.0	6.0	117.0	0.0	102.0	15.0	132.0	338.0
31.0	832.0	842.0	820.0	825.0	848.0	862.0	580.0
32.0	513.0	480.0	502.0	467.0	529.0	495.0	225.0
33.0	771.0	541.0	758.0	530.0	784.0	555.0	471.0
34.0	923.0	173.0	913.0	159.0	930.0	188.0	320.0
35.0	555.0	361.0	542.0	337.0	571.0	387.0	976.0
36.0	102.0	1015.0	89.0	1006.0	116.0	1024.0	372.0
37.0	604.0	836.0	591.0	818.0	615.0	855.0	616.0
38.0	375.0	362.0	367.0	354.0	386.0	373.0	196.0
39.0	596.0	961.0	571.0	941.0	623.0	980.0	1136.0
40.0	386.0	129.0	365.0	100.0	401.0	158.0	1161.0
41.0	121.0	751.0	86.0	726.0	153.0	778.0	2153.0
42.0	700.0	444.0	678.0	430.0	724.0	461.0	1113.0
43.0	469.0	878.0	455.0	866.0	485.0	887.0	328.0
44.0	543.0	554.0	533.0	546.0	554.0	564.0	219.0
45.0	924.0	244.0	916.0	228.0	930.0	260.0	218.0
46.0	816.0	676.0	805.0	660.0	828.0	694.0	377.0
47.0	377.0	949.0	362.0	928.0	393.0	973.0	722.0
48.0	918.0	376.0	901.0	345.0	930.0	410.0	1359.0
49.0	380.0	62.0	354.0	20.0	396.0	106.0	1879.0
50.0	326.0	538.0	295.0	522.0	356.0	557.0	1232.0
51.0	554.0	800.0	537.0	788.0	568.0	818.0	483.0
52.0	504.0	281.0	485.0	263.0	516.0	298.0	667.0
53.0	839.0	318.0	818.0	294.0	865.0	333.0	1000.0
54.0	261.0	523.0	246.0	503.0	277.0	545.0	884.0
55.0	673.0	184.0	658.0	172.0	697.0	204.0	627.0
56.0	426.0	372.0	404.0	360.0	449.0	389.0	602.0
57.0	192.0	347.0	173.0	334.0	210.0	368.0	637.0
58.0	748.0	542.0	738.0	531.0	760.0	553.0	343.0
59.0	911.0	1016.0	891.0	1004.0	930.0	1024.0	498.0
60.0	482.0	1019.0	466.0	1010.0	499.0	1024.0	252.0
61.0	365.0	844.0	350.0	830.0	378.0	861.0	553.0
62.0	180.0	3.0	164.0	0.0	201.0	16.0	324.0
63.0	253.0	482.0	245.0	457.0	275.0	496.0	556.0
64.0	340.0	383.0	330.0	374.0	351.0	395.0	295.0
65.0	311.0	244.0	298.0	234.0	324.0	250.0	212.0
66.0	7.0	505.0	0.0	483.0	18.0	526.0	567.0
67.0	465.0	614.0	450.0	591.0	487.0	638.0	1061.0
68.0	422.0	688.0	409.0	671.0	440.0	707.0	677.0
69.0	482.0	375.0	468.0	361.0	500.0	393.0	628.0
70.0	473.0	17.0	458.0	0.0	492.0	40.0	644.0
71.0	562.0	127.0	543.0	111.0	577.0	146.0	856.0
72.0	617.0	201.0	602.0	189.0	634.0	211.0	380.0
73.0	307.0	873.0	296.0	857.0	321.0	883.0	415.0
74.0	359.0	99.0	341.0	69.0	379.0	126.0	1333.0
75.0	609.0	184.0	593.0	169.0	624.0	199.0	620.0
76.0	349.0	821.0	327.0	805.0	367.0	840.0	885.0
77.0	918.0	315.0	899.0	294.0	930.0	333.0	821.0
78.0	619.0	555.0	600.0	518.0	636.0	597.0	1306.0
79.0	7.0	597.0	0.0	576.0	30.0	623.0	791.0
80.0	664.0	592.0	636.0	567.0	692.0	607.0	1276.0
81.0	306.0	207.0	292.0	190.0	322.0	223.0	665.0
82.0	347.0	791.0	339.0	772.0	367.0	810.0	590.0
83.0	633.0	744.0	614.0	725.0	651.0	761.0	826.0
84.0	467.0	567.0	454.0	556.0	482.0	577.0	403.0
85.0	268.0	934.0	248.0	915.0	294.0	952.0	1079.0
86.0	560.0	185.0	537.0	174.0	576.0	209.0	789.0
87.0	855.0	204.0	845.0	195.0	871.0	218.0	372.0
88.0	10.0	557.0	0.0	526.0	31.0	586.0	1218.0
89.0	846.0	425.0	825.0	399.0	851.0	449.0	651.0
90.0	310.0	852.0	299.0	843.0	320.0	865.0	300.0
91.0	451.0	674.0	440.0	656.0	470.0	696.0	767.0
92.0	327.0	841.0	312.0	820.0	351.0	857.0	854.0
93.0	115.0	277.0	98.0	257.0	138.0	302.0	1062.0
94.0	181.0	373.0	171.0	355.0	201.0	393.0	697.0
95.0	380.0	422.0	366.0	409.0	394.0	438.0	565.0
96.0	912.0	605.0	902.0	590.0	922.0	621.0	457.0
97.0	557.0	400.0	542.0	384.0	569.0	419.0	558.0
98.0	67.0	514.0	15.0	493.0	120.0	549.0	2058.0
99.0	208.0	754.0	193.0	730.0	228.0	778.0	776.0
100.0	315.0	373.0	302.0	349.0	334.0	400.0	1105.0
101.0	264.0	960.0	251.0	946.0	282.0	981.0	683.0
102.0	242.0	585.0	219.0	556.0	267.0	614.0	1535.0
103.0	743.0	816.0	718.0	796.0	759.0	835.0	1014.0
104.0	216.0	1013.0	178.0	986.0	255.0	1024.0	1674.0
105.0	188.0	897.0	156.0	873.0	218.0	911.0	1233.0
106.0	686.0	72.0	659.0	49.0	711.0	96.0	1397.0
107.0	735.0	991.0	689.0	954.0	787.0	1014.0	3339.0
108.0	884.0	403.0	864.0	380.0	910.0	430.0	1107.0
109.0	541.0	406.0	530.0	389.0	554.0	424.0	515.0
110.0	425.0	535.0	374.0	500.0	457.0	582.0	2938.0
111.0	906.0	762.0	888.0	740.0	923.0	786.0	1095.0
112.0	224.0	165.0	207.0	150.0	238.0	177.0	564.0
113.0	123.0	542.0	97.0	515.0	152.0	561.0	1456.0
114.0	399.0	974.0	383.0	955.0	418.0	993.0	890.0
115.0	313.0	412.0	298.0	397.0	329.0	428.0	649.0
116.0	618.0	130.0	606.0	112.0	631.0	151.0	726.0
117.0	228.0	521.0	207.0	503.0	250.0	540.0	1003.0
118.0	222.0	254.0	191.0	237.0	250.0	281.0	1579.0
119.0	294.0	368.0	267.0	347.0	307.0	398.0	789.0
120.0	837.0	463.0	822.0	441.0	856.0	486.0	1102.0
121.0	833.0	200.0	817.0	168.0	852.0	232.0	1276.0
122.0	914.0	632.0	896.0	613.0	930.0	648.0	863.0
123.0	875.0	236.0	853.0	213.0	902.0	260.0	963.0
124.0	332.0	603.0	308.0	586.0	348.0	627.0	882.0
125.0	447.0	102.0	427.0	88.0	468.0	121.0	701.0
126.0	141.0	491.0	119.0	467.0	162.0	509.0	1119.0
127.0	742.0	788.0	728.0	769.0	762.0	806.0	705.0
128.0	379.0	13.0	368.0	0.0	395.0	31.0	631.0
129.0	596.0	349.0	561.0	314.0	629.0	378.0	2558.0
130.0	478.0	649.0	468.0	628.0	496.0	655.0	505.0
131.0	171.0	471.0	138.0	445.0	193.0	507.0	2091.0
132.0	326.0	568.0	313.0	548.0	344.0	593.0	976.0
133.0	801.0	226.0	785.0	208.0	820.0	249.0	589.0
134.0	920.0	277.0	905.0	260.0	930.0	296.0	645.0
135.0	918.0	957.0	900.0	924.0	930.0	990.0	1413.0
136.0	188.0	605.0	177.0	590.0	205.0	622.0	613.0
137.0	763.0	723.0	741.0	694.0	787.0	752.0	1491.0
138.0	11.0	639.0	0.0	623.0	31.0	654.0	644.0
139.0	572.0	904.0	535.0	870.0	600.0	927.0	1661.0
140.0	111.0	802.0	79.0	774.0	129.0	816.0	1041.0
141.0	612.0	712.0	583.0	684.0	643.0	749.0	2171.0
142.0	746.0	482.0	724.0	462.0	766.0	503.0	870.0
143.0	886.0	441.0	876.0	427.0	913.0	454.0	323.0
144.0	303.0	229.0	286.0	217.0	320.0	241.0	513.0
145.0	907.0	252.0	891.0	232.0	928.0	273.0	958.0
146.0	485.0	594.0	475.0	579.0	501.0	606.0	494.0
147.0	95.0	315.0	81.0	302.0	116.0	334.0	728.0
148.0	212.0	605.0	196.0	585.0	233.0	625.0	904.0
149.0	908.0	666.0	897.0	644.0	919.0	691.0	778.0
150.0	407.0	135.0	396.0	114.0	427.0	156.0	681.0
151.0	222.0	984.0	211.0	961.0	235.0	1005.0	797.0
152.0	393.0	278.0	375.0	257.0	409.0	297.0	852.0
153.0	379.0	151.0	360.0	124.0	396.0	179.0	999.0
154.0	546.0	758.0	522.0	740.0	574.0	778.0	1180.0
155.0	108.0	346.0	93.0	319.0	125.0	372.0	1130.0
156.0	181.0	821.0	153.0	779.0	221.0	851.0	2256.0
157.0	771.0	446.0	729.0	402.0	807.0	473.0	2799.0
158.0	233.0	934.0	214.0	902.0	251.0	964.0	1147.0
159.0	364.0	395.0	342.0	384.0	387.0	417.0	845.0
160.0	393.0	692.0	374.0	670.0	415.0	716.0	1322.0
161.0	397.0	37.0	379.0	9.0	419.0	65.0	1227.0
162.0	196.0	644.0	171.0	623.0	216.0	669.0	1160.0
163.0	863.0	560.0	842.0	527.0	888.0	590.0	1618.0
164.0	528.0	32.0	514.0	11.0	549.0	50.0	910.0
165.0	125.0	366.0	108.0	350.0	147.0	389.0	837.0
166.0	893.0	64.0	874.0	37.0	909.0	94.0	877.0
167.0	469.0	695.0	457.0	678.0	482.0	709.0	536.0
168.0	14.0	610.0	2.0	603.0	34.0	630.0	590.0
169.0	625.0	681.0	601.0	665.0	649.0	696.0	1096.0
170.0	513.0	773.0	498.0	743.0	542.0	792.0	1295.0
171.0	559.0	779.0	540.0	766.0	576.0	791.0	616.0
172.0	152.0	424.0	132.0	410.0	167.0	446.0	622.0
173.0	856.0	53.0	831.0	30.0	880.0	81.0	1197.0
174.0	130.0	201.0	103.0	182.0	155.0	225.0	1078.0
175.0	265.0	189.0	222.0	164.0	299.0	234.0	2833.0
