label_id	anchor_x	anchor_y	bb_min_x	bb_min_y	bb_max_x	bb_max_y	n_pixels
1.0	41.37777777777778	514.7555555555556	34.0	511.0	47.0	522.0	45.0
2.0	582.8493150684932	2.0684931506849313	574.0	0.0	592.0	6.0	73.0
3.0	927.5081967213115	178.54098360655738	925.0	171.0	930.0	187.0	61.0
4.0	918.8496732026143	3.1241830065359477	907.0	0.0	930.0	8.0	153.0
5.0	873.7936507936508	384.7142857142857	869.0	380.0	879.0	390.0	63.0
6.0	927.0631578947368	321.8	924.0	312.0	930.0	333.0	95.0
7.0	489.6842105263158	292.9298245614035	485.0	290.0	496.0	298.0	57.0
8.0	801.0970873786408	56.9126213592233	795.0	52.0	808.0	63.0	103.0
9.0	482.20454545454544	283.95454545454544	479.0	280.0	488.0	290.0	44.0
10.0	926.95	914.675	924.0	907.0	930.0	924.0	80.0
11.0	812.736	50.08	807.0	43.0	820.0	57.0	125.0
12.0	733.0125	1020.9875	725.0	1018.0	742.0	1024.0	80.0
13.0	289.9805447470817	747.8832684824903	284.0	733.0	299.0	763.0	257.0
14.0	3.0390625	322.6640625	0.0	312.0	9.0	333.0	128.0
15.0	3.3660714285714284	495.32142857142856	0.0	486.0	9.0	504.0	112.0
16.0	926.6162790697674	274.51162790697674	923.0	267.0	930.0	283.0	86.0
17.0	489.8170731707317	703.0975609756098	485.0	698.0	495.0	709.0	82.0
18.0	4.86624203821656	510.2738853503185	0.0	502.0	13.0	521.0	157.0
19.0	3.937062937062937	476.31468531468533	0.0	467.0	10.0	486.0	143.0
20.0	3.563025210084034	789.4453781512605	0.0	781.0	9.0	798.0	119.0
21.0	790.7086247086247	27.07226107226107	774.0	18.0	806.0	38.0	429.0
22.0	926.3846153846154	157.73504273504273	922.0	148.0	930.0	169.0	117.0
23.0	919.9902912621359	13.75242718446602	911.0	8.0	930.0	22.0	206.0
24.0	490.3	283.75454545454545	483.0	279.0	498.0	290.0	110.0
25.0	631.3503937007874	242.96850393700788	625.0	230.0	639.0	255.0	254.0
26.0	796.45	74.26666666666667	789.0	62.0	804.0	87.0	240.0
27.0	925.9099099099099	548.0900900900901	921.0	540.0	930.0	557.0	111.0
28.0	801.4015748031496	45.960629921259844	795.0	40.0	808.0	53.0	127.0
29.0	481.91923076923075	5.653846153846154	470.0	0.0	494.0	14.0	260.0
30.0	36.255639097744364	520.9248120300751	30.0	514.0	43.0	528.0	133.0
31.0	541.8175182481751	129.98540145985402	535.0	124.0	550.0	137.0	137.0
32.0	531.4868421052631	459.719298245614	524.0	449.0	538.0	472.0	228.0
33.0	926.125	897.3522727272727	922.0	891.0	930.0	905.0	88.0
34.0	783.0215053763441	75.77060931899642	771.0	66.0	795.0	85.0	279.0
35.0	926.1935483870968	194.41935483870967	922.0	187.0	930.0	203.0	93.0
36.0	869.37	627.79	862.0	619.0	877.0	639.0	200.0
37.0	388.8198198198198	587.6486486486486	382.0	577.0	395.0	599.0	222.0
38.0	642.8859060402684	840.5369127516778	631.0	832.0	655.0	854.0	298.0
39.0	785.0730158730158	198.2888888888889	773.0	189.0	798.0	208.0	315.0
40.0	248.32467532467533	602.3333333333334	234.0	593.0	258.0	613.0	231.0
41.0	328.809364548495	1016.190635451505	317.0	1007.0	340.0	1024.0	299.0
42.0	642.7265917602996	854.6629213483146	633.0	844.0	652.0	868.0	267.0
43.0	7.152416356877324	660.3122676579926	0.0	651.0	16.0	672.0	269.0
44.0	368.9935483870968	531.6096774193549	357.0	524.0	383.0	540.0	310.0
45.0	7.2207207207207205	537.4436936936937	0.0	522.0	17.0	555.0	444.0
46.0	125.83378746594005	423.1798365122616	111.0	415.0	141.0	432.0	367.0
