label_id	anchor_y	anchor_x	bb_min_y	bb_min_x	bb_max_y	bb_max_x	n_pixels
1.0	253.84745762711864	1.8644067796610169	246.0	0.0	262.0	5.0	59.0
2.0	388.07575757575756	960.1515151515151	384.0	955.0	394.0	965.0	66.0
3.0	2.3389830508474576	519.1694915254237	0.0	514.0	7.0	526.0	59.0
4.0	644.0	260.9756097560976	641.0	258.0	648.0	265.0	41.0
5.0	926.69	731.12	923.0	723.0	930.0	742.0	100.0
6.0	2.25	144.26470588235293	0.0	138.0	7.0	152.0	68.0
7.0	310.27848101265823	1021.126582278481	302.0	1018.0	320.0	1024.0	79.0
8.0	927.2957746478874	295.98591549295776	924.0	288.0	930.0	305.0	71.0
9.0	334.725	677.655	324.0	670.0	348.0	684.0	200.0
10.0	392.1774193548387	1021.3064516129032	385.0	1018.0	401.0	1024.0	62.0
11.0	2.4523809523809526	498.54761904761904	0.0	490.0	7.0	507.0	84.0
12.0	506.0769230769231	105.75	501.0	102.0	513.0	110.0	52.0
13.0	2.287128712871287	374.05940594059405	0.0	363.0	7.0	385.0	101.0
14.0	178.49101796407186	3.904191616766467	168.0	0.0	190.0	10.0	167.0
15.0	3.490566037735849	323.1509433962264	0.0	316.0	9.0	331.0	106.0
16.0	3.104	271.832	0.0	262.0	8.0	282.0	125.0
17.0	342.9230769230769	197.991452991453	338.0	190.0	349.0	206.0	117.0
18.0	3.213675213675214	167.48717948717947	0.0	158.0	9.0	177.0	117.0
19.0	514.7575757575758	748.3484848484849	511.0	743.0	521.0	756.0	66.0
20.0	351.8266129032258	186.08064516129033	340.0	178.0	364.0	194.0	248.0
21.0	3.5669291338582676	610.2677165354331	0.0	602.0	10.0	620.0	127.0
22.0	3.75	752.2142857142857	0.0	744.0	10.0	763.0	140.0
23.0	676.2478632478633	1019.9487179487179	667.0	1015.0	686.0	1024.0	117.0
24.0	505.7564102564103	717.7692307692307	500.0	709.0	516.0	727.0	156.0
25.0	585.8615384615384	716.0923076923077	581.0	712.0	591.0	721.0	65.0
26.0	594.8406593406594	782.5769230769231	588.0	775.0	603.0	792.0	182.0
27.0	4.017341040462428	100.3699421965318	0.0	89.0	11.0	112.0	173.0
28.0	3.2818181818181817	37.61818181818182	0.0	29.0	9.0	46.0	110.0
29.0	190.15300546448088	495.6775956284153	182.0	489.0	198.0	505.0	183.0
30.0	911.445652173913	350.0217391304348	907.0	344.0	917.0	356.0	92.0
31.0	926.6506024096385	927.3855421686746	923.0	920.0	930.0	936.0	83.0
32.0	122.47826086956522	583.5	116.0	578.0	133.0	591.0	138.0
33.0	523.4888888888889	751.8148148148148	516.0	747.0	532.0	759.0	135.0
34.0	397.2628205128205	957.275641025641	391.0	950.0	405.0	965.0	156.0
35.0	235.41747572815535	1019.5825242718447	228.0	1015.0	243.0	1024.0	103.0
36.0	287.82530120481925	562.644578313253	281.0	553.0	296.0	571.0	166.0
37.0	408.69260700389106	735.2373540856031	396.0	728.0	422.0	743.0	257.0
38.0	925.7520661157025	513.1404958677685	921.0	505.0	930.0	523.0	121.0
39.0	924.1341991341991	364.23376623376623	917.0	354.0	930.0	377.0	231.0
40.0	496.8484848484849	1019.939393939394	487.0	1015.0	507.0	1024.0	132.0
41.0	247.20714285714286	996.1785714285714	240.0	990.0	255.0	1004.0	140.0
42.0	41.206043956043956	176.8021978021978	33.0	162.0	50.0	191.0	364.0
43.0	124.58169934640523	596.4869281045752	115.0	588.0	136.0	608.0	306.0
44.0	447.2700729927007	5.802919708029197	431.0	0.0	459.0	17.0	274.0
45.0	731.4707317073171	7.54390243902439	717.0	0.0	746.0	17.0	410.0
46.0	234.2900432900433	44.63636363636363	226.0	37.0	244.0	53.0	231.0
47.0	231.66071428571428	59.63095238095238	223.0	54.0	242.0	66.0	168.0
48.0	513.5217391304348	101.34782608695652	508.0	97.0	519.0	106.0	69.0
49.0	504.5042016806723	97.00840336134453	498.0	92.0	512.0	104.0	119.0
50.0	443.00416666666666	593.4083333333333	433.0	587.0	455.0	601.0	240.0
51.0	4.812807881773399	852.4827586206897	0.0	840.0	12.0	863.0	203.0
52.0	548.5594405594405	503.23426573426576	541.0	492.0	557.0	518.0	286.0
53.0	211.31270358306188	648.1628664495114	201.0	638.0	223.0	659.0	307.0
54.0	205.13942307692307	524.6875	196.0	516.0	214.0	534.0	208.0
55.0	924.4744897959183	660.3724489795918	919.0	650.0	930.0	671.0	196.0
56.0	57.005797101449275	10.579710144927537	48.0	0.0	67.0	24.0	345.0
57.0	182.1626984126984	422.53968253968253	169.0	416.0	195.0	429.0	252.0
58.0	312.6136363636364	673.459090909091	305.0	665.0	322.0	682.0	220.0
59.0	597.8333333333334	198.72727272727272	591.0	191.0	604.0	207.0	132.0
60.0	31.60387811634349	209.30193905817174	22.0	197.0	43.0	223.0	361.0
61.0	390.46712802768167	706.2871972318339	383.0	695.0	398.0	719.0	289.0
62.0	483.57107843137254	328.9117647058824	469.0	320.0	500.0	338.0	408.0
63.0	369.59298245614036	332.2105263157895	361.0	321.0	380.0	344.0	285.0
64.0	680.4458333333333	689.1458333333334	673.0	679.0	691.0	699.0	240.0
65.0	697.1409090909091	680.6863636363636	691.0	670.0	705.0	692.0	220.0
66.0	207.50943396226415	7.514824797843666	195.0	0.0	222.0	19.0	371.0
67.0	9.996539792387543	553.4100346020762	0.0	538.0	22.0	570.0	578.0
68.0	383.09606986899564	6.056768558951965	373.0	0.0	393.0	15.0	229.0
69.0	331.1407766990291	866.3058252427185	325.0	857.0	338.0	877.0	206.0
70.0	560.59375	215.15625	548.0	207.0	575.0	224.0	352.0
71.0	307.6082191780822	306.2931506849315	299.0	293.0	316.0	321.0	365.0
72.0	894.543352601156	419.7543352601156	881.0	412.0	910.0	428.0	346.0
