label_id	anchor_x	anchor_y	bb_min_x	bb_min_y	bb_max_x	bb_max_y	n_pixels
1.0	1.9444444444444444	55.611111111111114	0.0	50.0	6.0	62.0	54.0
2.0	567.0204081632653	1021.5102040816327	561.0	1019.0	574.0	1024.0	49.0
3.0	2.157142857142857	430.9	0.0	423.0	7.0	439.0	70.0
4.0	99.74719101123596	340.17977528089887	94.0	319.0	107.0	350.0	178.0
5.0	874.5925925925926	453.641975308642	869.0	449.0	881.0	459.0	81.0
6.0	920.3163265306123	1020.1224489795918	913.0	1016.0	929.0	1024.0	98.0
7.0	923.9497716894978	878.5068493150685	918.0	869.0	930.0	891.0	219.0
8.0	90.4069264069264	1018.7489177489177	76.0	1012.0	104.0	1024.0	231.0
9.0	926.8441558441558	617.6883116883117	923.0	610.0	930.0	626.0	77.0
10.0	805.16875	1019.8	794.0	1015.0	818.0	1024.0	160.0
11.0	925.9909090909091	437.2	921.0	429.0	930.0	446.0	110.0
12.0	800.9882352941177	321.6	789.0	315.0	810.0	330.0	170.0
13.0	878.8392857142857	446.48214285714283	875.0	443.0	884.0	451.0	56.0
14.0	11.463917525773196	116.65292096219932	1.0	107.0	23.0	127.0	291.0
15.0	552.0	485.80232558139534	547.0	481.0	558.0	492.0	86.0
16.0	549.5045454545455	276.8545454545455	542.0	267.0	557.0	288.0	220.0
17.0	884.0166666666667	452.8333333333333	880.0	448.0	889.0	458.0	60.0
18.0	681.5220588235294	1020.1617647058823	671.0	1016.0	693.0	1024.0	136.0
19.0	923.2382445141066	505.13166144200625	915.0	490.0	930.0	518.0	319.0
20.0	317.57068062827227	564.0837696335078	308.0	559.0	328.0	572.0	191.0
21.0	730.1606557377049	583.1311475409836	721.0	572.0	741.0	595.0	305.0
22.0	263.5189873417722	876.0949367088608	256.0	870.0	272.0	883.0	158.0
23.0	4.551724137931035	755.9770114942529	0.0	746.0	12.0	766.0	174.0
24.0	536.6624365482234	7.9847715736040605	524.0	0.0	552.0	18.0	394.0
25.0	4.167785234899329	948.9731543624162	0.0	939.0	11.0	958.0	149.0
26.0	585.780487804878	876.1672473867595	574.0	869.0	598.0	885.0	287.0
