label_id	anchor_y	anchor_x	bb_min_y	bb_min_x	bb_max_y	bb_max_x	n_pixels
1.0	308.0	328.0	304.0	321.0	314.0	336.0	86.0
2.0	20.0	939.0	15.0	932.0	30.0	950.0	136.0
3.0	701.0	1006.0	697.0	1002.0	706.0	1011.0	62.0
4.0	261.0	423.0	254.0	418.0	268.0	428.0	84.0
5.0	2.0	256.0	0.0	249.0	6.0	264.0	68.0
6.0	415.0	1021.0	405.0	1019.0	425.0	1024.0	74.0
7.0	3.0	14.0	0.0	6.0	8.0	23.0	97.0
8.0	2.0	745.0	0.0	736.0	7.0	754.0	87.0
9.0	596.0	537.0	591.0	533.0	601.0	545.0	70.0
10.0	925.0	583.0	920.0	568.0	930.0	598.0	245.0
11.0	342.0	1020.0	332.0	1017.0	352.0	1024.0	112.0
12.0	787.0	4.0	777.0	0.0	797.0	11.0	162.0
13.0	812.0	764.0	803.0	753.0	822.0	776.0	270.0
14.0	320.0	338.0	310.0	324.0	329.0	351.0	347.0
15.0	923.0	260.0	916.0	244.0	930.0	277.0	360.0
16.0	212.0	1020.0	204.0	1017.0	221.0	1024.0	84.0
17.0	205.0	6.0	193.0	0.0	220.0	15.0	286.0
18.0	168.0	3.0	162.0	0.0	175.0	8.0	71.0
19.0	155.0	537.0	149.0	526.0	165.0	544.0	113.0
20.0	927.0	675.0	924.0	668.0	930.0	682.0	68.0
21.0	506.0	1018.0	496.0	1012.0	516.0	1024.0	195.0
22.0	684.0	5.0	671.0	0.0	698.0	12.0	245.0
23.0	458.0	1018.0	450.0	1011.0	468.0	1024.0	182.0
24.0	918.0	673.0	912.0	661.0	925.0	686.0	243.0
25.0	926.0	60.0	922.0	51.0	930.0	69.0	102.0
26.0	734.0	808.0	720.0	801.0	746.0	820.0	321.0
27.0	818.0	6.0	806.0	0.0	831.0	17.0	301.0
28.0	590.0	166.0	581.0	154.0	599.0	177.0	284.0
29.0	318.0	1018.0	309.0	1010.0	327.0	1024.0	193.0
30.0	621.0	233.0	610.0	226.0	634.0	239.0	242.0
31.0	46.0	471.0	27.0	458.0	63.0	483.0	641.0
32.0	711.0	1001.0	705.0	995.0	719.0	1009.0	131.0
33.0	622.0	517.0	612.0	506.0	631.0	528.0	266.0
34.0	246.0	753.0	236.0	747.0	257.0	760.0	226.0
35.0	354.0	461.0	344.0	455.0	364.0	467.0	161.0
36.0	210.0	256.0	202.0	246.0	219.0	267.0	259.0
37.0	5.0	720.0	0.0	710.0	14.0	731.0	202.0
38.0	124.0	23.0	116.0	13.0	134.0	34.0	286.0
39.0	591.0	399.0	584.0	388.0	599.0	411.0	276.0
40.0	867.0	952.0	859.0	942.0	878.0	961.0	259.0
41.0	106.0	722.0	94.0	711.0	119.0	737.0	384.0
42.0	157.0	41.0	148.0	35.0	166.0	49.0	187.0
43.0	24.0	350.0	15.0	344.0	34.0	356.0	160.0
44.0	280.0	325.0	267.0	314.0	292.0	339.0	457.0
45.0	208.0	976.0	192.0	958.0	221.0	989.0	620.0
46.0	27.0	333.0	19.0	327.0	37.0	340.0	179.0
47.0	165.0	531.0	157.0	523.0	176.0	542.0	250.0
48.0	845.0	950.0	838.0	940.0	854.0	961.0	263.0
49.0	435.0	741.0	426.0	726.0	447.0	756.0	429.0
50.0	804.0	53.0	794.0	42.0	815.0	64.0	297.0
51.0	34.0	535.0	21.0	519.0	45.0	551.0	466.0
52.0	558.0	10.0	549.0	0.0	568.0	22.0	322.0
53.0	336.0	501.0	320.0	490.0	354.0	511.0	498.0
54.0	862.0	619.0	853.0	611.0	874.0	629.0	263.0
55.0	6.0	88.0	0.0	74.0	15.0	103.0	323.0
56.0	85.0	22.0	76.0	13.0	97.0	33.0	272.0
57.0	612.0	79.0	603.0	68.0	622.0	92.0	304.0
58.0	589.0	596.0	579.0	589.0	599.0	604.0	236.0
59.0	478.0	996.0	470.0	987.0	485.0	1008.0	215.0
60.0	82.0	246.0	70.0	237.0	95.0	256.0	280.0
61.0	98.0	10.0	89.0	1.0	109.0	21.0	304.0
62.0	716.0	829.0	710.0	821.0	723.0	838.0	177.0
63.0	527.0	895.0	520.0	884.0	535.0	908.0	267.0
64.0	707.0	799.0	698.0	790.0	719.0	808.0	254.0
65.0	295.0	5.0	287.0	0.0	303.0	12.0	153.0
66.0	248.0	531.0	240.0	523.0	256.0	540.0	211.0
67.0	13.0	138.0	9.0	132.0	20.0	144.0	91.0
68.0	821.0	783.0	811.0	773.0	832.0	792.0	302.0
69.0	37.0	942.0	23.0	933.0	50.0	951.0	374.0
70.0	580.0	8.0	569.0	0.0	591.0	18.0	324.0
71.0	818.0	840.0	808.0	831.0	827.0	850.0	273.0
72.0	47.0	198.0	38.0	186.0	57.0	210.0	340.0
73.0	497.0	386.0	491.0	375.0	504.0	398.0	219.0
74.0	226.0	769.0	218.0	761.0	234.0	780.0	206.0
75.0	689.0	221.0	683.0	211.0	700.0	230.0	195.0
76.0	522.0	400.0	515.0	391.0	531.0	411.0	241.0
