label_id	anchor_x	anchor_y	bb_min_x	bb_min_y	bb_max_x	bb_max_y	n_pixels
1.0	61.666666666666664	887.5833333333334	59.0	884.0	66.0	892.0	36.0
2.0	367.75	789.775	364.0	786.0	372.0	794.0	40.0
3.0	86.84285714285714	171.75714285714287	81.0	167.0	92.0	179.0	70.0
4.0	2.067415730337079	349.4157303370786	0.0	339.0	6.0	360.0	89.0
5.0	307.225	795.075	304.0	792.0	311.0	800.0	40.0
6.0	874.3644859813085	2.9906542056074765	865.0	0.0	885.0	8.0	107.0
7.0	342.8666666666667	3.66	332.0	0.0	354.0	10.0	150.0
8.0	337.7142857142857	828.795918367347	334.0	825.0	342.0	834.0	49.0
9.0	838.772972972973	45.23783783783784	829.0	38.0	850.0	60.0	185.0
10.0	2.246913580246914	138.41975308641975	0.0	130.0	7.0	147.0	81.0
11.0	2.4074074074074074	867.0617283950618	0.0	856.0	8.0	875.0	81.0
12.0	264.94	855.34	262.0	851.0	269.0	861.0	50.0
13.0	927.1369863013699	806.3013698630137	924.0	799.0	930.0	816.0	73.0
14.0	359.5967741935484	721.741935483871	356.0	717.0	365.0	727.0	62.0
15.0	180.26415094339623	23.11949685534591	171.0	11.0	190.0	31.0	159.0
16.0	320.8888888888889	773.3111111111111	317.0	770.0	326.0	778.0	45.0
17.0	27.357142857142858	2.642857142857143	19.0	0.0	37.0	7.0	98.0
18.0	57.078125	21.6171875	50.0	15.0	66.0	28.0	128.0
19.0	211.92307692307693	3.5128205128205128	204.0	0.0	221.0	9.0	117.0
20.0	5.73109243697479	4.294117647058823	0.0	0.0	14.0	11.0	119.0
21.0	2.9347826086956523	692.9673913043479	0.0	685.0	8.0	701.0	92.0
22.0	413.12698412698415	3.6984126984126986	404.0	0.0	422.0	9.0	126.0
23.0	105.01123595505618	4.0	95.0	0.0	117.0	11.0	178.0
24.0	430.13698630136986	2.7534246575342465	424.0	0.0	437.0	8.0	73.0
25.0	703.3614457831326	2.7710843373493974	697.0	0.0	711.0	8.0	83.0
26.0	391.04761904761904	3.5238095238095237	382.0	0.0	401.0	9.0	126.0
27.0	315.0	782.5970149253732	311.0	777.0	320.0	789.0	67.0
28.0	762.0597014925373	270.2649253731343	752.0	262.0	773.0	281.0	268.0
29.0	4.232044198895028	548.6298342541437	0.0	537.0	11.0	560.0	181.0
30.0	926.4754098360655	341.88524590163934	922.0	332.0	930.0	354.0	122.0
31.0	183.78752886836028	84.57736720554273	170.0	70.0	199.0	99.0	433.0
32.0	389.9404761904762	669.8095238095239	385.0	664.0	396.0	676.0	84.0
33.0	919.0394366197183	111.78309859154929	906.0	95.0	930.0	132.0	710.0
34.0	469.7317073170732	572.0040650406504	462.0	560.0	478.0	585.0	246.0
35.0	80.81896551724138	159.63793103448276	72.0	153.0	91.0	168.0	232.0
36.0	805.7231270358307	266.07817589576547	793.0	258.0	818.0	274.0	307.0
37.0	25.66829268292683	602.0243902439024	17.0	594.0	35.0	610.0	205.0
38.0	402.9325153374233	593.1165644171779	396.0	585.0	411.0	602.0	163.0
39.0	58.17894736842105	192.18947368421053	50.0	179.0	66.0	205.0	285.0
40.0	549.2307692307693	7.019230769230769	535.0	0.0	563.0	16.0	364.0
41.0	371.13574660633486	5.828054298642534	362.0	0.0	382.0	14.0	221.0
42.0	116.15584415584415	83.35064935064935	111.0	79.0	123.0	90.0	77.0
43.0	75.69642857142857	181.13988095238096	67.0	168.0	85.0	196.0	336.0
44.0	898.7933884297521	1017.7603305785124	888.0	1012.0	911.0	1024.0	242.0
45.0	825.4294117647058	4.7176470588235295	817.0	0.0	836.0	12.0	170.0
46.0	71.03930131004367	13.775109170305678	52.0	6.0	88.0	23.0	458.0
47.0	910.4375	7.081730769230769	902.0	0.0	919.0	16.0	208.0
48.0	120.23809523809524	362.01465201465203	110.0	352.0	129.0	374.0	273.0
49.0	369.20361990950227	400.28054298642536	362.0	391.0	377.0	412.0	221.0
50.0	776.1342592592592	933.4305555555555	767.0	925.0	786.0	942.0	216.0
51.0	597.1130434782609	217.12173913043478	589.0	207.0	606.0	228.0	230.0
52.0	243.77394636015325	8.490421455938698	235.0	0.0	254.0	18.0	261.0
53.0	308.26262626262627	326.1363636363636	301.0	317.0	316.0	336.0	198.0
54.0	477.46992481203006	559.2781954887218	467.0	552.0	488.0	569.0	266.0
55.0	791.3427895981088	65.84633569739952	778.0	55.0	806.0	78.0	423.0
