label_id	anchor_x	anchor_y	bb_min_x	bb_min_y	bb_max_x	bb_max_y	n_pixels
1.0	192.66153846153847	833.3692307692307	189.0	827.0	198.0	839.0	65.0
2.0	285.8863636363636	1021.5909090909091	280.0	1019.0	293.0	1024.0	44.0
3.0	554.8082191780821	92.15753424657534	549.0	86.0	562.0	100.0	146.0
4.0	500.50657894736844	172.60526315789474	485.0	166.0	510.0	181.0	152.0
5.0	255.97222222222223	509.0	253.0	506.0	260.0	513.0	36.0
6.0	104.89189189189189	849.081081081081	102.0	846.0	109.0	853.0	37.0
7.0	91.57142857142857	893.1190476190476	88.0	890.0	96.0	898.0	42.0
8.0	652.5853658536586	879.0	649.0	876.0	657.0	883.0	41.0
9.0	176.4268292682927	1020.7926829268292	167.0	1017.0	185.0	1024.0	82.0
10.0	184.78181818181818	838.6363636363636	180.0	835.0	190.0	843.0	55.0
11.0	927.1911764705883	1004.3970588235294	924.0	997.0	930.0	1013.0	68.0
12.0	184.08474576271186	847.2881355932203	176.0	843.0	193.0	853.0	118.0
13.0	2.486842105263158	874.8421052631579	0.0	868.0	7.0	883.0	76.0
14.0	3.806451612903226	226.0193548387097	0.0	215.0	10.0	237.0	155.0
15.0	927.1666666666666	817.7272727272727	924.0	811.0	930.0	826.0	66.0
16.0	415.0	331.2258064516129	412.0	329.0	419.0	335.0	31.0
17.0	477.7142857142857	2.479591836734694	468.0	0.0	487.0	7.0	98.0
18.0	258.4623655913978	2.806451612903226	251.0	0.0	267.0	8.0	93.0
19.0	120.26530612244898	522.1224489795918	112.0	517.0	131.0	529.0	147.0
20.0	89.6218487394958	736.5126050420168	84.0	730.0	96.0	744.0	119.0
21.0	578.2585365853658	764.7170731707317	571.0	753.0	585.0	777.0	205.0
22.0	2.7866666666666666	852.72	0.0	846.0	8.0	860.0	75.0
23.0	270.58992805755395	1018.956834532374	262.0	1013.0	279.0	1024.0	139.0
24.0	238.0752688172043	690.6308243727599	224.0	685.0	253.0	698.0	279.0
25.0	841.5130434782609	1020.1130434782609	832.0	1016.0	851.0	1024.0	115.0
26.0	50.3121387283237	417.91329479768785	43.0	412.0	59.0	427.0	173.0
27.0	4.916981132075471	454.7396226415094	0.0	441.0	12.0	469.0	265.0
28.0	469.4406130268199	1016.2911877394636	460.0	1006.0	480.0	1024.0	261.0
29.0	3.4489795918367347	519.734693877551	0.0	508.0	9.0	530.0	147.0
30.0	86.99	898.74	80.0	894.0	95.0	904.0	100.0
31.0	924.0849056603773	1018.8867924528302	918.0	1014.0	930.0	1024.0	106.0
32.0	93.64516129032258	689.6774193548387	88.0	683.0	103.0	697.0	93.0
33.0	91.40598290598291	1018.0982905982906	79.0	1011.0	103.0	1024.0	234.0
34.0	436.953781512605	150.30252100840337	426.0	143.0	448.0	158.0	238.0
35.0	385.9714285714286	285.3257142857143	379.0	277.0	394.0	295.0	175.0
36.0	881.7076923076924	1019.2307692307693	874.0	1014.0	891.0	1024.0	130.0
37.0	102.10738255033557	684.9597315436241	96.0	678.0	110.0	693.0	149.0
38.0	13.592436974789916	212.88655462184875	6.0	203.0	21.0	224.0	238.0
39.0	434.73362445414847	413.353711790393	427.0	404.0	444.0	423.0	229.0
40.0	424.332	316.584	417.0	305.0	432.0	329.0	250.0
41.0	431.36842105263156	506.7631578947368	425.0	501.0	438.0	514.0	114.0
42.0	106.13761467889908	822.0917431192661	99.0	817.0	114.0	828.0	109.0
43.0	897.4495412844037	413.2844036697248	891.0	408.0	905.0	419.0	109.0
44.0	758.2435233160621	12.782383419689118	749.0	6.0	768.0	21.0	193.0
45.0	157.86144578313252	5.367469879518072	151.0	0.0	167.0	13.0	166.0
46.0	450.88718929254304	174.1089866156788	437.0	160.0	464.0	191.0	523.0
47.0	58.414545454545454	967.5527272727272	52.0	956.0	67.0	981.0	275.0
48.0	170.80898876404495	648.943820224719	166.0	641.0	178.0	655.0	89.0
49.0	230.8139534883721	801.3197674418604	224.0	793.0	239.0	812.0	172.0
