label_id	anchor_y	anchor_x	bb_min_y	bb_min_x	bb_max_y	bb_max_x	n_pixels
1.0	836.0	585.0	830.0	579.0	841.0	594.0	75.0
2.0	928.0	100.0	925.0	91.0	930.0	109.0	65.0
3.0	928.0	647.0	925.0	640.0	930.0	654.0	46.0
4.0	408.0	355.0	396.0	350.0	414.0	366.0	119.0
5.0	9.0	2.0	1.0	0.0	18.0	6.0	72.0
6.0	2.0	762.0	0.0	755.0	8.0	769.0	74.0
7.0	927.0	364.0	925.0	358.0	930.0	370.0	50.0
8.0	247.0	3.0	237.0	0.0	259.0	7.0	129.0
9.0	508.0	1021.0	500.0	1018.0	516.0	1024.0	68.0
10.0	30.0	1021.0	20.0	1017.0	41.0	1024.0	105.0
11.0	583.0	4.0	572.0	0.0	596.0	11.0	176.0
12.0	3.0	317.0	0.0	310.0	8.0	324.0	76.0
13.0	476.0	4.0	467.0	0.0	486.0	10.0	145.0
14.0	574.0	1017.0	561.0	1011.0	588.0	1024.0	272.0
15.0	153.0	4.0	144.0	0.0	163.0	11.0	147.0
16.0	4.0	237.0	0.0	228.0	11.0	247.0	159.0
17.0	4.0	198.0	0.0	188.0	11.0	208.0	168.0
18.0	198.0	717.0	186.0	714.0	211.0	729.0	188.0
19.0	407.0	254.0	397.0	247.0	420.0	265.0	263.0
20.0	6.0	46.0	0.0	35.0	17.0	56.0	251.0
21.0	614.0	1019.0	608.0	1013.0	622.0	1024.0	117.0
22.0	925.0	819.0	919.0	805.0	930.0	833.0	216.0
23.0	834.0	616.0	826.0	611.0	845.0	627.0	190.0
24.0	853.0	1020.0	846.0	1015.0	861.0	1024.0	103.0
25.0	264.0	444.0	253.0	439.0	276.0	451.0	216.0
26.0	5.0	740.0	0.0	731.0	12.0	750.0	167.0
27.0	559.0	8.0	551.0	0.0	568.0	18.0	231.0
28.0	531.0	1017.0	515.0	1010.0	548.0	1024.0	400.0
29.0	393.0	1019.0	382.0	1014.0	404.0	1024.0	172.0
30.0	926.0	705.0	922.0	697.0	930.0	713.0	97.0
31.0	372.0	418.0	364.0	414.0	378.0	426.0	102.0
32.0	394.0	363.0	385.0	354.0	408.0	378.0	293.0
33.0	589.0	398.0	576.0	392.0	602.0	405.0	226.0
34.0	688.0	555.0	682.0	543.0	695.0	567.0	240.0
35.0	770.0	396.0	762.0	390.0	778.0	404.0	165.0
36.0	690.0	1018.0	679.0	1011.0	701.0	1024.0	222.0
37.0	264.0	426.0	257.0	415.0	274.0	438.0	255.0
38.0	47.0	592.0	39.0	585.0	58.0	601.0	212.0
39.0	837.0	564.0	827.0	556.0	843.0	571.0	147.0
40.0	209.0	55.0	202.0	48.0	215.0	63.0	134.0
41.0	194.0	652.0	182.0	645.0	209.0	664.0	334.0
42.0	135.0	914.0	128.0	904.0	147.0	925.0	163.0
43.0	95.0	1016.0	81.0	1006.0	110.0	1024.0	411.0
44.0	925.0	528.0	921.0	520.0	930.0	536.0	108.0
45.0	789.0	922.0	778.0	914.0	800.0	931.0	282.0
46.0	512.0	132.0	503.0	118.0	522.0	146.0	372.0
47.0	515.0	23.0	502.0	12.0	527.0	27.0	183.0
48.0	926.0	383.0	921.0	375.0	930.0	392.0	109.0
49.0	760.0	523.0	746.0	509.0	775.0	534.0	497.0
50.0	397.0	547.0	387.0	540.0	408.0	557.0	240.0
51.0	276.0	430.0	268.0	422.0	287.0	440.0	210.0
52.0	7.0	651.0	0.0	639.0	16.0	665.0	296.0
53.0	658.0	659.0	650.0	648.0	668.0	672.0	324.0
54.0	722.0	768.0	714.0	758.0	731.0	780.0	257.0
55.0	601.0	596.0	592.0	587.0	611.0	605.0	270.0
56.0	762.0	1011.0	753.0	998.0	772.0	1024.0	398.0
57.0	848.0	575.0	844.0	570.0	855.0	581.0	94.0
58.0	19.0	327.0	14.0	316.0	27.0	339.0	193.0
59.0	638.0	1015.0	628.0	1005.0	651.0	1024.0	350.0
60.0	675.0	653.0	666.0	641.0	684.0	665.0	324.0
61.0	883.0	655.0	878.0	650.0	889.0	662.0	79.0
