label_id	anchor_x	anchor_y	bb_min_x	bb_min_y	bb_max_x	bb_max_y	n_pixels
1.0	786.0	398.09090909090907	784.0	396.0	789.0	402.0	22.0
2.0	927.6888888888889	729.6444444444444	925.0	724.0	930.0	737.0	45.0
3.0	718.6034482758621	845.7068965517242	714.0	842.0	724.0	851.0	58.0
4.0	30.56451612903226	1.9838709677419355	24.0	0.0	38.0	6.0	62.0
5.0	790.4571428571429	403.87142857142857	785.0	400.0	798.0	408.0	70.0
6.0	778.6082474226804	422.6701030927835	773.0	417.0	785.0	429.0	97.0
7.0	821.6969696969697	803.7272727272727	819.0	801.0	826.0	808.0	33.0
8.0	927.3508771929825	414.94736842105266	925.0	408.0	930.0	423.0	57.0
9.0	927.2911392405064	149.78481012658227	924.0	141.0	930.0	160.0	79.0
10.0	789.6492537313433	420.76119402985074	783.0	415.0	798.0	427.0	134.0
11.0	513.8541666666666	988.4791666666666	508.0	985.0	523.0	992.0	48.0
12.0	807.0377358490566	412.14150943396226	802.0	405.0	815.0	419.0	106.0
13.0	522.4347826086956	983.0326086956521	515.0	977.0	529.0	989.0	92.0
14.0	2.597826086956522	480.79347826086956	0.0	472.0	8.0	490.0	92.0
15.0	302.2773722627737	889.051094890511	286.0	877.0	315.0	902.0	274.0
16.0	923.2260273972603	525.1164383561644	916.0	519.0	930.0	532.0	146.0
17.0	828.7741935483871	805.0806451612904	824.0	801.0	834.0	810.0	62.0
18.0	829.16	845.8533333333334	824.0	841.0	836.0	853.0	75.0
19.0	823.8068181818181	811.3863636363636	817.0	807.0	831.0	816.0	88.0
20.0	184.84313725490196	770.7647058823529	181.0	767.0	190.0	775.0	51.0
21.0	801.9146341463414	396.1341463414634	798.0	390.0	810.0	405.0	82.0
22.0	717.2816901408451	836.169014084507	713.0	832.0	723.0	842.0	71.0
23.0	793.632911392405	397.32911392405066	789.0	392.0	799.0	403.0	79.0
24.0	3.090909090909091	401.2181818181818	0.0	392.0	8.0	410.0	110.0
25.0	784.1385542168674	3.86144578313253	774.0	0.0	796.0	10.0	166.0
26.0	3.707482993197279	234.8231292517007	0.0	224.0	10.0	245.0	147.0
27.0	469.34285714285716	1019.9428571428572	461.0	1015.0	478.0	1024.0	105.0
28.0	566.4440298507462	899.6343283582089	554.0	893.0	579.0	908.0	268.0
29.0	725.2222222222222	841.8888888888889	720.0	837.0	731.0	848.0	81.0
30.0	534.5098039215686	186.3921568627451	530.0	183.0	540.0	191.0	51.0
31.0	3.761290322580645	323.63870967741934	0.0	312.0	10.0	334.0	155.0
32.0	703.0943396226415	774.9811320754717	699.0	771.0	709.0	782.0	53.0
33.0	543.3358778625955	180.78625954198472	537.0	175.0	551.0	188.0	131.0
34.0	925.144385026738	636.336898395722	919.0	625.0	930.0	649.0	187.0
35.0	515.7019867549669	1019.066225165563	507.0	1014.0	525.0	1024.0	151.0
36.0	189.83838383838383	780.4848484848485	184.0	775.0	196.0	787.0	99.0
37.0	211.30107526881721	1018.6344086021505	201.0	1012.0	222.0	1024.0	186.0
38.0	49.81720430107527	491.6953405017921	43.0	479.0	58.0	505.0	279.0
39.0	926.4931506849315	35.12328767123287	923.0	29.0	930.0	42.0	73.0
40.0	4.0	191.1	0.0	181.0	10.0	201.0	150.0
41.0	878.3789473684211	3.568421052631579	872.0	0.0	886.0	9.0	95.0
42.0	97.41586073500967	941.0889748549323	80.0	930.0	117.0	953.0	517.0
43.0	238.61290322580646	674.9870967741936	233.0	668.0	246.0	683.0	155.0
44.0	926.4404761904761	799.9047619047619	922.0	793.0	930.0	808.0	84.0
45.0	922.5315315315315	567.0045045045046	914.0	559.0	930.0	577.0	222.0
46.0	713.6883116883117	549.2380952380952	706.0	541.0	724.0	562.0	231.0
47.0	757.1785714285714	582.0416666666666	751.0	573.0	765.0	591.0	168.0
48.0	37.08496732026144	522.3986928104575	30.0	516.0	45.0	530.0	153.0
49.0	593.1307692307693	7.9743589743589745	581.0	0.0	608.0	20.0	390.0
50.0	80.80589680589681	223.23832923832924	65.0	214.0	97.0	233.0	407.0
51.0	925.1263736263736	848.4010989010989	919.0	837.0	930.0	860.0	182.0
52.0	209.24444444444444	168.55555555555554	202.0	163.0	218.0	175.0	135.0
53.0	56.89867841409691	419.6696035242291	49.0	409.0	67.0	430.0	227.0
54.0	205.4935064935065	159.55194805194805	198.0	153.0	214.0	166.0	154.0
55.0	923.5340909090909	430.3068181818182	916.0	423.0	930.0	439.0	176.0
56.0	538.8096385542169	597.1204819277109	528.0	585.0	551.0	611.0	415.0
57.0	167.73205741626793	349.23444976076553	161.0	339.0	180.0	361.0	209.0
58.0	542.3384615384615	242.73846153846154	538.0	238.0	548.0	248.0	65.0
59.0	504.9440203562341	639.5190839694657	495.0	624.0	516.0	655.0	393.0
60.0	6.381147540983607	621.7786885245902	0.0	612.0	16.0	633.0	244.0
61.0	357.29337539432174	7.564668769716088	347.0	0.0	369.0	18.0	317.0
62.0	694.8670212765958	806.4095744680851	689.0	797.0	703.0	818.0	188.0
63.0	809.9226804123712	400.53092783505156	804.0	391.0	817.0	412.0	194.0
64.0	481.4713804713805	813.8282828282828	472.0	803.0	492.0	826.0	297.0
65.0	340.52186588921285	464.98250728862973	332.0	452.0	350.0	479.0	343.0
66.0	6.924623115577889	427.32663316582915	0.0	420.0	16.0	435.0	199.0
67.0	7.017182130584192	263.2680412371134	0.0	253.0	16.0	276.0	291.0
68.0	17.133522727272727	1004.3806818181819	7.0	992.0	29.0	1018.0	352.0
69.0	448.1041666666667	748.4114583333334	440.0	742.0	457.0	757.0	192.0
70.0	327.278431372549	425.321568627451	321.0	413.0	334.0	439.0	255.0
71.0	598.6175298804781	754.8924302788845	592.0	744.0	607.0	767.0	251.0
72.0	739.2905982905983	449.94871794871796	730.0	438.0	750.0	464.0	351.0
73.0	36.83589743589744	233.4102564102564	29.0	227.0	47.0	242.0	195.0
74.0	690.6506024096385	788.6927710843373	684.0	781.0	699.0	797.0	166.0
75.0	64.51746031746032	949.6952380952381	52.0	941.0	77.0	959.0	315.0
76.0	924.4213483146067	713.2303370786517	918.0	705.0	930.0	724.0	178.0
77.0	841.4245810055866	848.4972067039106	832.0	843.0	851.0	855.0	179.0
78.0	920.1111111111111	607.0833333333334	909.0	595.0	930.0	620.0	432.0
79.0	137.33093525179856	793.4676258992806	126.0	785.0	149.0	802.0	278.0
80.0	65.93258426966293	610.2247191011236	56.0	597.0	76.0	624.0	356.0
81.0	187.26936026936028	322.956228956229	176.0	313.0	204.0	336.0	297.0
82.0	139.77322404371586	942.0874316939891	130.0	930.0	151.0	956.0	366.0
83.0	342.9484536082474	175.12783505154638	333.0	159.0	352.0	192.0	485.0
84.0	897.578231292517	503.0952380952381	889.0	492.0	908.0	514.0	294.0
85.0	909.5961538461538	667.4923076923077	901.0	659.0	919.0	678.0	260.0
86.0	531.5830721003135	433.6708463949843	522.0	423.0	543.0	446.0	319.0
87.0	721.5463576158941	591.4172185430464	714.0	581.0	732.0	604.0	302.0
