label_id	anchor_x	anchor_y	bb_min_x	bb_min_y	bb_max_x	bb_max_y	n_pixels
1.0	91.73684210526316	550.421052631579	90.0	547.0	95.0	558.0	19.0
2.0	257.6375	337.7125	253.0	332.0	265.0	343.0	80.0
3.0	694.9642857142857	951.0892857142857	690.0	948.0	701.0	956.0	56.0
4.0	869.8947368421053	891.7631578947369	867.0	889.0	874.0	896.0	38.0
5.0	922.1084598698482	1009.177874186551	912.0	990.0	930.0	1024.0	461.0
6.0	272.96363636363634	326.23636363636365	269.0	322.0	278.0	332.0	55.0
7.0	926.655462184874	789.9579831932773	923.0	779.0	930.0	802.0	119.0
8.0	90.21875	519.4375	87.0	517.0	94.0	523.0	32.0
9.0	96.05555555555556	547.1111111111111	93.0	544.0	101.0	551.0	36.0
10.0	281.31060606060606	345.219696969697	275.0	339.0	288.0	355.0	132.0
11.0	80.46913580246914	492.2962962962963	76.0	486.0	85.0	499.0	81.0
12.0	926.5865384615385	212.91346153846155	923.0	204.0	930.0	223.0	104.0
13.0	713.6958525345622	6.497695852534562	704.0	0.0	723.0	15.0	217.0
14.0	921.7032258064517	4.529032258064516	913.0	0.0	930.0	11.0	155.0
15.0	3.0344827586206895	233.31896551724137	0.0	224.0	9.0	244.0	116.0
16.0	460.8988764044944	887.7640449438202	456.0	880.0	469.0	894.0	89.0
17.0	926.7948717948718	136.2051282051282	923.0	129.0	930.0	145.0	78.0
18.0	85.31390134529148	5.8923766816143495	77.0	0.0	98.0	15.0	223.0
19.0	47.25903614457831	202.0	39.0	195.0	56.0	209.0	166.0
20.0	701.3962264150944	958.8867924528302	698.0	955.0	706.0	964.0	53.0
21.0	609.4052044609665	152.48327137546468	602.0	140.0	616.0	168.0	269.0
22.0	40.517857142857146	215.66517857142858	31.0	208.0	51.0	225.0	224.0
23.0	464.8767123287671	457.94520547945206	460.0	453.0	471.0	463.0	73.0
24.0	629.972972972973	76.78378378378379	622.0	57.0	640.0	93.0	370.0
25.0	3.865284974093264	550.8186528497409	0.0	538.0	10.0	565.0	193.0
26.0	685.5	956.2631578947369	680.0	950.0	692.0	964.0	114.0
