label_id	anchor_y	anchor_x	bb_min_y	bb_min_x	bb_max_y	bb_max_x	n_pixels
1.0	928.0	1013.0	925.0	1005.0	930.0	1022.0	63.0
2.0	812.0	1022.0	803.0	1019.0	821.0	1024.0	66.0
3.0	2.0	882.0	0.0	875.0	6.0	889.0	61.0
4.0	927.0	977.0	925.0	969.0	930.0	986.0	66.0
5.0	97.0	423.0	90.0	418.0	102.0	433.0	92.0
6.0	927.0	488.0	925.0	482.0	930.0	495.0	50.0
7.0	746.0	1021.0	734.0	1018.0	758.0	1024.0	117.0
8.0	927.0	460.0	924.0	454.0	930.0	467.0	60.0
9.0	669.0	721.0	662.0	715.0	676.0	729.0	121.0
10.0	298.0	831.0	288.0	825.0	307.0	841.0	190.0
11.0	575.0	1020.0	568.0	1016.0	583.0	1024.0	89.0
12.0	123.0	1004.0	115.0	998.0	131.0	1012.0	175.0
13.0	625.0	871.0	620.0	867.0	632.0	878.0	72.0
14.0	897.0	5.0	887.0	0.0	907.0	12.0	176.0
15.0	19.0	1020.0	13.0	1015.0	26.0	1024.0	94.0
16.0	279.0	977.0	271.0	967.0	289.0	986.0	226.0
17.0	5.0	814.0	0.0	804.0	13.0	824.0	181.0
18.0	847.0	122.0	834.0	112.0	857.0	137.0	265.0
19.0	4.0	714.0	0.0	702.0	12.0	726.0	190.0
20.0	290.0	1018.0	279.0	1012.0	301.0	1024.0	208.0
21.0	443.0	779.0	438.0	767.0	454.0	792.0	276.0
22.0	588.0	235.0	581.0	222.0	600.0	246.0	243.0
23.0	140.0	315.0	130.0	309.0	150.0	324.0	217.0
24.0	32.0	902.0	26.0	897.0	38.0	908.0	98.0
25.0	194.0	1018.0	180.0	1013.0	210.0	1024.0	249.0
26.0	465.0	1017.0	455.0	1009.0	476.0	1024.0	249.0
27.0	860.0	7.0	848.0	0.0	872.0	17.0	301.0
28.0	838.0	61.0	826.0	50.0	852.0	69.0	279.0
29.0	834.0	6.0	822.0	0.0	846.0	15.0	278.0
30.0	39.0	575.0	29.0	562.0	52.0	589.0	415.0
31.0	925.0	63.0	919.0	52.0	930.0	75.0	174.0
32.0	605.0	233.0	592.0	219.0	615.0	247.0	471.0
33.0	6.0	447.0	0.0	434.0	14.0	460.0	263.0
34.0	7.0	261.0	0.0	249.0	16.0	274.0	305.0
35.0	606.0	344.0	598.0	327.0	616.0	361.0	466.0
36.0	66.0	614.0	59.0	599.0	73.0	630.0	318.0
37.0	38.0	1017.0	28.0	1009.0	49.0	1024.0	241.0
38.0	6.0	494.0	0.0	482.0	14.0	507.0	258.0
39.0	641.0	1018.0	627.0	1013.0	655.0	1024.0	241.0
40.0	256.0	764.0	246.0	757.0	267.0	771.0	207.0
41.0	429.0	543.0	422.0	538.0	439.0	551.0	159.0
42.0	844.0	1015.0	831.0	1004.0	858.0	1024.0	404.0
43.0	843.0	47.0	831.0	37.0	855.0	58.0	351.0
44.0	243.0	755.0	236.0	743.0	252.0	768.0	295.0
45.0	25.0	910.0	19.0	904.0	33.0	917.0	137.0
46.0	401.0	1017.0	391.0	1008.0	412.0	1024.0	258.0
47.0	898.0	883.0	892.0	877.0	905.0	891.0	134.0
48.0	348.0	679.0	337.0	673.0	359.0	689.0	229.0
49.0	651.0	517.0	643.0	507.0	658.0	527.0	213.0
50.0	8.0	419.0	0.0	410.0	18.0	430.0	286.0
51.0	166.0	521.0	158.0	510.0	175.0	533.0	315.0
